# param=omegamh2 z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,69.48671,0.1983815628557304,0.00021574051735550551,47,True,True
18,70.36948,0.193833588565814,0.00021100177555033776,47,True,True
16,70.61948,0.17227313611864026,0.0002132929357892042,47,True,True
15,73.241615,0.07911558393572982,0.00018859257556605197,47,True,True
13,74.08274,0.15756119088401532,0.00019024058584601438,47,True,True
12,74.756546,0.07090875337525615,0.00021592793303446166,47,True,True
11,75.09623,0.07313716197725029,0.0001922131118520364,47,True,True
10,77.63294,0.08280792230950107,0.00013684902448705854,47,True,True
9,81.13953,0.25824495666060354,0.0002488113295909465,47,False,True
8,84.13618,0.1268949646450368,0.00017676790808882526,47,True,True
7,84.93454,0.24279232620420732,0.00021563261217612994,47,True,True
6,90.344345,0.12427551710927875,0.00028556277170249157,47,True,True
5,93.10971,0.14834091580001718,0.00013128351693335576,47,True,True
4,107.895164,0.40775051551857566,0.0002084865303686923,47,False,True
3,112.47955,0.46977441234626915,0.00017827073449699603,47,False,True
2,134.52795,0.7077048937841959,0.0015654462049673886,47,False,True
1,146.8596,0.7747376638334245,0.0016543756469151942,47,False,True
