# param=tau0 z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,n_keep,gate_pass,x0_enters
19,0.0038269926,0.008918363121110107,48,True,True
16,0.0041888575,0.00899240141692964,48,True,True
15,0.005390615,0.013075623918568646,48,True,True
14,0.0059794136,0.008272540263693673,48,True,True
13,0.0061503816,0.007323414183181609,48,True,True
12,0.008774595,0.009111794613146429,48,True,True
10,0.015141597,0.013158648300018005,48,True,True
9,0.015539555,0.01370061240481757,48,True,True
8,0.01562006,0.012601047516251462,48,True,True
6,0.31970865,0.05665461035107072,48,True,True
5,1.0829413,0.10958953163728136,48,True,True
3,4.2310014,0.44346302922376957,48,False,True
2,22.926933,0.16757139813852512,48,True,True
1,31.715305,0.6679651599738194,48,False,True
