Complexity,Loss,Equation,score,sympy_format,lambda_format
1,128.00671,-4.6854157,0.0,-4.68541570000000,PySRFunction(X=>-4.68541570000000)
3,114.83489,x2 * -9.370871,0.05429366342441552,x2*(-9.370871),PySRFunction(X=>x2*(-9.370871))
4,108.63639,square(x2) * -13.780554,0.05548892332677231,x2**2*(-13.780554),PySRFunction(X=>x2**2*(-13.780554))
5,91.56384,"aq(-6.920858, x0 - 0.6822182)",0.17097000032845008,-6.920858/sqrt((x0 - 1*0.6822182)**2 + 1),PySRFunction(X=>-6.920858/sqrt((x0 - 1*0.6822182)**2 + 1))
6,81.78915,"aq(-6.4854407, square(x0 - 0.9862874))",0.1128918396922215,-6.4854407/sqrt((x0 - 1*0.9862874)**4 + 1),PySRFunction(X=>-6.4854407/sqrt((x0 - 1*0.9862874)**4 + 1))
7,70.63761,"aq(-4.6968865, log(square(x2 + x0)))",0.14658187202310957,-4.6968865/sqrt(log((x0 + x2)**2)**2 + 1),PySRFunction(X=>-4.6968865/sqrt(log((x0 + x2)**2)**2 + 1))
8,42.776802,"aq(-4.6968865, square(log(square(x2) + x0)))",0.5015667758994605,-4.6968865/sqrt(log(x0 + x2**2)**4 + 1),PySRFunction(X=>-4.6968865/sqrt(log(x0 + x2**2)**4 + 1))
11,39.778778,"aq(square(square((x2 + x0) + -1.8860818)) + -5.7308297, x0)",0.024220797434017508,((x0 + x2 - 1.8860818)**4 - 5.7308297)/sqrt(x0**2 + 1),PySRFunction(X=>((x0 + x2 - 1.8860818)**4 - 5.7308297)/sqrt(x0**2 + 1))
12,18.932606,"exp(aq(x2 * -7.504734, x0 - 0.6478559) + 4.848125) + -8.586733",0.7424479331715967,exp(-7.504734*x2/sqrt((x0 - 1*0.6478559)**2 + 1) + 4.848125) - 8.586733,PySRFunction(X=>exp(-7.504734*x2/sqrt((x0 - 1*0.6478559)**2 + 1) + 4.848125) - 8.586733)
14,17.21894,"aq(exp(aq(x2 * -7.5588036, x0 - 0.64517915) + 4.919132) + -9.075757, x1)",0.047437840026538614,(exp(-7.5588036*x2/sqrt((x0 - 1*0.64517915)**2 + 1) + 4.919132) - 9.075757)/sqrt(x1**2 + 1),PySRFunction(X=>(exp(-7.5588036*x2/sqrt((x0 - 1*0.64517915)**2 + 1) + 4.919132) - 9.075757)/sqrt(x1**2 + 1))
15,14.667974,"exp(exp(aq(x2 * -5.4292483, x2 - (x0 * 0.60662645)) + 2.9501786)) + -10.337301",0.16034346313368897,exp(exp(-5.4292483*x2/sqrt((-0.60662645*x0 + x2)**2 + 1) + 2.9501786)) - 10.337301,PySRFunction(X=>exp(exp(-5.4292483*x2/sqrt((-0.60662645*x0 + x2)**2 + 1) + 2.9501786)) - 10.337301)
16,12.714062,"(exp((x2 * aq(-8.234174, 0.47818905 - aq(x0, x0))) + 5.1001315) + -6.524161) * 1.6074916",0.14295785262497238,(exp(x2*(-8.234174/sqrt((0.47818905 - x0/sqrt(x0**2 + 1))**2 + 1)) + 5.1001315) - 6.524161)*1.6074916,PySRFunction(X=>(exp(x2*(-8.234174/sqrt((0.47818905 - x0/sqrt(x0**2 + 1))**2 + 1)) + 5.1001315) - 6.524161)*1.6074916)
18,10.427668,"(-6.524161 + exp((x2 * aq(-8.234174, 0.47818905 - aq(x0, x0))) + 5.1001315)) * aq(1.6074916, x1)",0.09912298340646065,(1.6074916/sqrt(x1**2 + 1))*(exp(x2*(-8.234174/sqrt((0.47818905 - x0/sqrt(x0**2 + 1))**2 + 1)) + 5.1001315) - 6.524161),PySRFunction(X=>(1.6074916/sqrt(x1**2 + 1))*(exp(x2*(-8.234174/sqrt((0.47818905 - x0/sqrt(x0**2 + 1))**2 + 1)) + 5.1001315) - 6.524161))
19,10.191399,"aq(exp(exp(aq(x2 * -3.723117, aq(-0.7696861, x0) * (0.5665078 - x0)) + 2.3487792)) + -11.652389, x1)",0.022918528930243497,(exp(exp(-3.723117*x2/sqrt(0.59241669253321*(0.5665078 - x0)**2/(x0**2 + 1) + 1) + 2.3487792)) - 11.652389)/sqrt(x1**2 + 1),PySRFunction(X=>(exp(exp(-3.723117*x2/sqrt(0.59241669253321*(0.5665078 - x0)**2/(x0**2 + 1) + 1) + 2.3487792)) - 11.652389)/sqrt(x1**2 + 1))
20,10.13767,"aq((exp(aq(x2 * -8.148324, aq(x0, x0) - 0.47660187) + 5.059306) + -6.463973) * 1.6846467, x1 * 1.4091718)",0.005285940551846344,1.6846467*(exp(-8.148324*x2/sqrt((x0/sqrt(x0**2 + 1) - 1*0.47660187)**2 + 1) + 5.059306) - 6.463973)/sqrt(1.98576516191524*x1**2 + 1),PySRFunction(X=>1.6846467*(exp(-8.148324*x2/sqrt((x0/sqrt(x0**2 + 1) - 1*0.47660187)**2 + 1) + 5.059306) - 6.463973)/sqrt(1.98576516191524*x1**2 + 1))
