Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.012114,x0,0.0,x0,PySRFunction(X=>x0)
2,21.122545,exp(x0),0.38403694887411466,exp(x0),PySRFunction(X=>exp(x0))
3,5.021664,x0 * 3.2074933,1.43657960059041,x0*3.2074933,PySRFunction(X=>x0*3.2074933)
5,0.09201025,(x0 - x2) * 3.4122996,1.9998083239887052,(x0 - x2)*3.4122996,PySRFunction(X=>(x0 - x2)*3.4122996)
7,0.06072206,(x0 + (-0.051745843 - x2)) * 3.4091923,0.20779646257797207,(x0 - x2 - 0.051745843)*3.4091923,PySRFunction(X=>(x0 - x2 - 0.051745843)*3.4091923)
8,0.039612263,(x0 * 3.4167151) - exp(x2 + 0.18713605),0.42716831669138516,x0*3.4167151 - exp(x2 + 0.18713605),PySRFunction(X=>x0*3.4167151 - exp(x2 + 0.18713605))
9,0.027853487,"(x0 + (-0.082154244 - aq(x2, x1))) * 3.4101706",0.35218057704040334,(x0 - x2/sqrt(x1**2 + 1) - 0.082154244)*3.4101706,PySRFunction(X=>(x0 - x2/sqrt(x1**2 + 1) - 0.082154244)*3.4101706)
10,0.0186182,"(x0 * 3.4168904) - exp(aq(x2 + 0.22984317, x1))",0.40281856806980826,x0*3.4168904 - exp((x2 + 0.22984317)/sqrt(x1**2 + 1)),PySRFunction(X=>x0*3.4168904 - exp((x2 + 0.22984317)/sqrt(x1**2 + 1)))
11,0.0070101377,"(x0 * 3.4159307) - exp(square(aq(x2, x1)) + 0.4149233)",0.9767822527088159,x0*3.4159307 - exp(x2**2/(x1**2 + 1) + 0.4149233),PySRFunction(X=>x0*3.4159307 - exp(x2**2/(x1**2 + 1) + 0.4149233))
13,0.005621779,"((x0 * 3.4149864) + 0.1676261) - exp(square(aq(x2, x1)) + 0.48364177)",0.11035459118132313,x0*3.4149864 - exp(x2**2/(x1**2 + 1) + 0.48364177) + 0.1676261,PySRFunction(X=>x0*3.4149864 - exp(x2**2/(x1**2 + 1) + 0.48364177) + 0.1676261)
15,0.0053296173,"aq(0.17684346, x1) + ((x0 * 3.4148383) - exp(square(aq(x2, x1)) + 0.4825532))",0.026684363691658934,x0*3.4148383 - exp(x2**2/(x1**2 + 1) + 0.4825532) + 0.17684346/sqrt(x1**2 + 1),PySRFunction(X=>x0*3.4148383 - exp(x2**2/(x1**2 + 1) + 0.4825532) + 0.17684346/sqrt(x1**2 + 1))
17,0.0032303822,"0.19396466 + ((3.3968887 * x0) - exp(0.49337956 + aq(square(aq(x2, x1)), aq(x0, 5.020151))))",0.2503394880332558,3.3968887*x0 - exp(x2**2/(sqrt(0.0381651478312956*x0**2 + 1)*(x1**2 + 1)) + 0.49337956) + 0.19396466,PySRFunction(X=>3.3968887*x0 - exp(x2**2/(sqrt(0.0381651478312956*x0**2 + 1)*(x1**2 + 1)) + 0.49337956) + 0.19396466)
19,0.0032214997,"(x0 * 3.3937464) + (0.1869607 - exp(square(aq(aq(x2, x1), x0 - aq(x0, 0.6184894))) + 0.49040654))",0.0013767309677395147,x0*3.3937464 - exp(x2**2/((x1**2 + 1)*((-0.850477548734634*x0 + x0)**2 + 1)) + 0.49040654) + 0.1869607,PySRFunction(X=>x0*3.3937464 - exp(x2**2/((x1**2 + 1)*((-0.850477548734634*x0 + x0)**2 + 1)) + 0.49040654) + 0.1869607)
20,0.0032121344,"(0.19382747 + (x0 * 3.3959556)) - exp(aq(square(aq(x2, x1)), aq(x0, square(-0.86997)) - x0) + 0.49340472)",0.002911358174698671,x0*3.3959556 - exp(x2**2/((x1**2 + 1)*sqrt((-x0 + 0.797371451866459*x0)**2 + 1)) + 0.49340472) + 0.19382747,PySRFunction(X=>x0*3.3959556 - exp(x2**2/((x1**2 + 1)*sqrt((-x0 + 0.797371451866459*x0)**2 + 1)) + 0.49340472) + 0.19382747)
