Complexity,Loss,Equation,score,sympy_format,lambda_format
1,263.89066,-3.8036125,0.0,-3.80361250000000,PySRFunction(X=>-3.80361250000000)
2,215.68094,exp(x0),0.20173466466589696,exp(x0),PySRFunction(X=>exp(x0))
3,168.30334,"aq(-9.314095, x0)",0.2480322395092463,-9.314095/sqrt(x0**2 + 1),PySRFunction(X=>-9.314095/sqrt(x0**2 + 1))
4,133.00752,square(x0 * 2.138864),0.23536227853706865,4.574739210496*x0**2,PySRFunction(X=>4.574739210496*x0**2)
5,118.90947,"aq(-17.184881, x0) + 11.334544",0.11204322068964909,11.334544 - 17.184881/sqrt(x0**2 + 1),PySRFunction(X=>11.334544 - 17.184881/sqrt(x0**2 + 1))
6,103.72187,(square(x0) - x2) * 5.026713,0.1366494574694686,(x0**2 - x2)*5.026713,PySRFunction(X=>(x0**2 - x2)*5.026713)
7,78.866554,"11.143678 - aq(x2 * 28.28364, x0)",0.2739557555138898,11.143678 - 28.28364*x2/sqrt(x0**2 + 1),PySRFunction(X=>11.143678 - 28.28364*x2/sqrt(x0**2 + 1))
8,74.70409,(square(x0 * 2.852174) - 10.345304) * x2,0.05422239132110675,x2*(8.134896526276*x0**2 - 1*10.345304),PySRFunction(X=>x2*(8.134896526276*x0**2 - 1*10.345304))
9,67.626656,square((-2.6943204 * x0) - log(x2)) - 5.229177,0.09953261813058861,(-2.6943204*x0 - log(x2))**2 - 5.229177,PySRFunction(X=>(-2.6943204*x0 - log(x2))**2 - 5.229177)
11,54.925026,square((x0 * -2.681096) - log(x2)) - (x2 * 9.88225),0.10401656660434465,-9.88225*x2 + (-2.681096*x0 - log(x2))**2,PySRFunction(X=>-9.88225*x2 + (-2.681096*x0 - log(x2))**2)
12,49.87658,square(log(x2) - (x0 * -2.683648)) - (square(x2) * 14.280442),0.09641753773709569,-14.280442*x2**2 + (2.683648*x0 + log(x2))**2,PySRFunction(X=>-14.280442*x2**2 + (2.683648*x0 + log(x2))**2)
13,48.69229,"aq(square(log(x2) - (x0 * -2.681096)) - (x2 * 9.88225), x0)",0.024030852572804958,(-9.88225*x2 + (2.681096*x0 + log(x2))**2)/sqrt(x0**2 + 1),PySRFunction(X=>(-9.88225*x2 + (2.681096*x0 + log(x2))**2)/sqrt(x0**2 + 1))
14,42.365463,"aq(square(log(x2) - (x0 * -2.683648)) - (square(x2) * 14.280442), x0)",0.13918722290997132,(-14.280442*x2**2 + (2.683648*x0 + log(x2))**2)/sqrt(x0**2 + 1),PySRFunction(X=>(-14.280442*x2**2 + (2.683648*x0 + log(x2))**2)/sqrt(x0**2 + 1))
16,38.067375,"aq(square((x0 * -2.8393462) - log(x2)) - (square(x2) * 15.666007), x0 + x1)",0.05348793116850642,(-15.666007*x2**2 + (-2.8393462*x0 - log(x2))**2)/sqrt((x0 + x1)**2 + 1),PySRFunction(X=>(-15.666007*x2**2 + (-2.8393462*x0 - log(x2))**2)/sqrt((x0 + x1)**2 + 1))
17,36.386726,"aq(square(x1 + ((x0 * -2.7618668) - (exp(x2) + -2.3049467))) - exp(exp(x2)), x0)",0.04515357828182771,((x0*(-2.7618668) + x1 - (exp(x2) - 2.3049467))**2 - exp(exp(x2)))/sqrt(x0**2 + 1),PySRFunction(X=>((x0*(-2.7618668) + x1 - (exp(x2) - 2.3049467))**2 - exp(exp(x2)))/sqrt(x0**2 + 1))
18,33.786526,"aq(square(square(exp(x2) + (-2.2421405 - x1)) + (x0 * -2.6540902)) - exp(exp(x2)), x0)",0.07414195384658177,((x0*(-2.6540902) + (-x1 + exp(x2) - 2.2421405)**2)**2 - exp(exp(x2)))/sqrt(x0**2 + 1),PySRFunction(X=>((x0*(-2.6540902) + (-x1 + exp(x2) - 2.2421405)**2)**2 - exp(exp(x2)))/sqrt(x0**2 + 1))
20,30.547077,"aq(square((x0 * -2.833606) + square(exp(x2) + (-2.342343 - x1))) - exp(exp(x2)), x1 + x0)",0.050396541066197474,((x0*(-2.833606) + (-x1 + exp(x2) - 2.342343)**2)**2 - exp(exp(x2)))/sqrt((x0 + x1)**2 + 1),PySRFunction(X=>((x0*(-2.833606) + (-x1 + exp(x2) - 2.342343)**2)**2 - exp(exp(x2)))/sqrt((x0 + x1)**2 + 1))
