Complexity,Loss,Equation,score,sympy_format,lambda_format
1,24.636395,x0,0.0,x0,PySRFunction(X=>x0)
2,22.978804,exp(x0),0.06965259533378743,exp(x0),PySRFunction(X=>exp(x0))
3,10.02052,x0 * 2.6589415,0.8299372352917214,x0*2.6589415,PySRFunction(X=>x0*2.6589415)
4,8.923369,log(x0 - -0.1623519),0.1159614246499985,log(x0 + 0.1623519),PySRFunction(X=>log(x0 + 0.1623519))
5,4.051184,log(square(x0 - -0.37556803)),0.7896643817949546,log((x0 + 0.37556803)**2),PySRFunction(X=>log((x0 + 0.37556803)**2))
6,3.614477,log(x0 + 0.5051599) * 2.5510058,0.114062013893915,2.5510058*log(x0 + 0.5051599),PySRFunction(X=>2.5510058*log(x0 + 0.5051599))
7,3.1111324,"(aq(x0, x0) - x2) * 3.9554904",0.1499603945061587,(x0/sqrt(x0**2 + 1) - x2)*3.9554904,PySRFunction(X=>(x0/sqrt(x0**2 + 1) - x2)*3.9554904)
8,2.9507434,"log(aq(x0, x2) + 0.51842237) * 2.9086323",0.05292963706765334,2.9086323*log(x0/sqrt(x2**2 + 1) + 0.51842237),PySRFunction(X=>2.9086323*log(x0/sqrt(x2**2 + 1) + 0.51842237))
9,2.4544384,"aq(-5.662882, (x0 + x0) + x2) + 2.6562283",0.18415916116507183,2.6562283 - 5.662882/sqrt((x0 + x0 + x2)**2 + 1),PySRFunction(X=>2.6562283 - 5.662882/sqrt((x0 + x0 + x2)**2 + 1))
10,2.0719934,(x0 * ((5.691402 - exp(x2)) - x0)) - 2.1009455,0.16938683837601182,x0*(-x0 - exp(x2) + 5.691402) - 1*2.1009455,PySRFunction(X=>x0*(-x0 - exp(x2) + 5.691402) - 1*2.1009455)
11,1.9920255,"log(square(exp(aq(x0, x0 + log(x2))) - 0.5736681))",0.03935917877868715,log((exp(x0/sqrt((x0 + log(x2))**2 + 1)) - 0.5736681)**2),PySRFunction(X=>log((exp(x0/sqrt((x0 + log(x2))**2 + 1)) - 0.5736681)**2))
12,1.6813776,"(5.1359377 - exp(aq(x2 + x0, x0))) * (x0 + -0.6494462)",0.16953850288644712,(5.1359377 - exp((x0 + x2)/sqrt(x0**2 + 1)))*(x0 - 0.6494462),PySRFunction(X=>(5.1359377 - exp((x0 + x2)/sqrt(x0**2 + 1)))*(x0 - 0.6494462))
13,1.2544895,"log(square(exp(aq(aq(x0, x2), x0 + log(x2))) - 0.65160066))",0.292884740478005,log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2))**2 + 1))) - 0.65160066)**2),PySRFunction(X=>log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2))**2 + 1))) - 0.65160066)**2))
15,1.0793773,"log(square(exp(aq(aq(x0, x0 + log(x2)), x2)) - aq(0.6786609, x1)))",0.07517220807076772,log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2))**2 + 1))) - 0.6786609/sqrt(x1**2 + 1))**2),PySRFunction(X=>log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2))**2 + 1))) - 0.6786609/sqrt(x1**2 + 1))**2))
16,1.0046341,"log(square(exp(aq(aq(x0, x2), log(x2) + x0)) - aq(0.66746956, square(x1))))",0.07176090516332383,log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2))**2 + 1))) - 0.66746956/sqrt(x1**4 + 1))**2),PySRFunction(X=>log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2))**2 + 1))) - 0.66746956/sqrt(x1**4 + 1))**2))
18,0.93606794,"log(square(exp(aq(aq(x0, x2), aq(log(x2), x2) + x0)) - aq(0.66746956, square(x1))))",0.03534530764231845,log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2)/sqrt(x2**2 + 1))**2 + 1))) - 0.66746956/sqrt(x1**4 + 1))**2),PySRFunction(X=>log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log(x2)/sqrt(x2**2 + 1))**2 + 1))) - 0.66746956/sqrt(x1**4 + 1))**2))
19,0.84268415,"log(square(exp(aq(aq(x0, x2), x0 + log(square(x2 + 0.23771656)))) - aq(0.6808547, square(x1))))",0.10509584530348819,log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log((x2 + 0.23771656)**2))**2 + 1))) - 0.6808547/sqrt(x1**4 + 1))**2),PySRFunction(X=>log((exp(x0/(sqrt(x2**2 + 1)*sqrt((x0 + log((x2 + 0.23771656)**2))**2 + 1))) - 0.6808547/sqrt(x1**4 + 1))**2))
