Complexity,Loss,Equation,score,sympy_format,lambda_format
1,120.60545,-3.3737628,0.0,-3.37376280000000,PySRFunction(X=>-3.37376280000000)
3,56.24623,x0 * -3.7723315,0.38139272868444946,x0*(-3.7723315),PySRFunction(X=>x0*(-3.7723315))
5,38.239635,"aq(x0 * -5.6471896, x0)",0.19293323672882515,-5.6471896*x0/sqrt(x0**2 + 1),PySRFunction(X=>-5.6471896*x0/sqrt(x0**2 + 1))
6,32.463573,"aq(x0 * -10.712611, exp(x0))",0.16375391319266028,-10.712611*x0/sqrt(exp(2*x0) + 1),PySRFunction(X=>-10.712611*x0/sqrt(exp(2*x0) + 1))
7,32.181904,"aq(x0, x0 * 1.7836583) * -7.495031",0.008714322967392057,(x0/sqrt(3.18143693115889*x0**2 + 1))*(-7.495031),PySRFunction(X=>(x0/sqrt(3.18143693115889*x0**2 + 1))*(-7.495031))
8,27.056368,(x2 + log(x2 + x0)) * -3.8883247,0.17348191351551065,-3.8883247*x2 - 3.8883247*log(x0 + x2),PySRFunction(X=>-3.8883247*x2 - 3.8883247*log(x0 + x2))
10,20.516106,"(x2 + log(aq(x0, x0) + x2)) * -4.56271",0.1383560786350841,-4.56271*x2 - 4.56271*log(x0/sqrt(x0**2 + 1) + x2),PySRFunction(X=>-4.56271*x2 - 4.56271*log(x0/sqrt(x0**2 + 1) + x2))
12,19.321575,"log(x2 + (aq(x0, x0 * -1.7957377) + x2)) * -9.045504",0.029993944506025216,-9.045504*log(x0/sqrt(3.22467388720129*x0**2 + 1) + 2*x2),PySRFunction(X=>-9.045504*log(x0/sqrt(3.22467388720129*x0**2 + 1) + 2*x2))
13,12.407663,"log(aq((x2 + x0) + x2, log(x2) * x0)) * -8.218418",0.4429080815922257,-8.218418*log((x0 + 2*x2)/sqrt(x0**2*log(x2)**2 + 1)),PySRFunction(X=>-8.218418*log((x0 + 2*x2)/sqrt(x0**2*log(x2)**2 + 1)))
14,10.101456,"log(aq(x2 + x0, log(square(x2)) * x0) + x2) * -9.651451",0.20563469373533078,-9.651451*log(x2 + (x0 + x2)/sqrt(x0**2*log(x2**2)**2 + 1)),PySRFunction(X=>-9.651451*log(x2 + (x0 + x2)/sqrt(x0**2*log(x2**2)**2 + 1)))
15,8.557314,"log(aq((x2 + x0) + x2, log(x2 - 0.10108447) * x0)) * -9.267075",0.1658932160071365,-9.267075*log((x0 + 2*x2)/sqrt(x0**2*log(x2 - 0.10108447)**2 + 1)),PySRFunction(X=>-9.267075*log((x0 + 2*x2)/sqrt(x0**2*log(x2 - 0.10108447)**2 + 1)))
16,8.553092,"log(aq((x0 + x2) + x2, x0 * (aq(5.8989515, x2) - 4.2629194))) * -9.248214",0.0004935008655769607,-9.248214*log((x0 + 2*x2)/sqrt(x0**2*(-4.2629194 + 5.8989515/sqrt(x2**2 + 1))**2 + 1)),PySRFunction(X=>-9.248214*log((x0 + 2*x2)/sqrt(x0**2*(-4.2629194 + 5.8989515/sqrt(x2**2 + 1))**2 + 1)))
17,8.536063,"(log(aq((x2 + x0) + x2, x0 * log(x2 - 0.10072775))) * -9.276687) + 0.101584285",0.001992960522207676,0.101584285 - 9.276687*log((x0 + 2*x2)/sqrt(x0**2*log(x2 - 0.10072775)**2 + 1)),PySRFunction(X=>0.101584285 - 9.276687*log((x0 + 2*x2)/sqrt(x0**2*log(x2 - 0.10072775)**2 + 1)))
18,8.370912,"log(aq(aq((x0 + x2) + x2, x0 * log(x2 - 0.10072775)), square(x1))) * -9.276687",0.01953705533921968,-9.276687*log((x0 + 2*x2)/(sqrt(x1**4 + 1)*sqrt(x0**2*log(x2 - 0.10072775)**2 + 1))),PySRFunction(X=>-9.276687*log((x0 + 2*x2)/(sqrt(x1**4 + 1)*sqrt(x0**2*log(x2 - 0.10072775)**2 + 1))))
19,8.350775,"(log(aq(aq((x2 + x0) + x2, x0 * log(x2 - 0.10072775)), x1)) * -9.276687) - x1",0.002408490212054246,-x1 - 9.276687*log((x0 + 2*x2)/(sqrt(x1**2 + 1)*sqrt(x0**2*log(x2 - 0.10072775)**2 + 1))),PySRFunction(X=>-x1 - 9.276687*log((x0 + 2*x2)/(sqrt(x1**2 + 1)*sqrt(x0**2*log(x2 - 0.10072775)**2 + 1))))
