Complexity,Loss,Equation,score,sympy_format,lambda_format
1,495.17786,-5.1143994,0.0,-5.11439940000000,PySRFunction(X=>-5.11439940000000)
3,479.48264,x2 * -10.230377,0.01610466093698141,x2*(-10.230377),PySRFunction(X=>x2*(-10.230377))
4,472.1433,-15.505873 * square(x2),0.015425148085734504,-15.505873*x2**2,PySRFunction(X=>-15.505873*x2**2)
5,469.01917,10.228165 - (x2 * 25.571335),0.006638899391423686,10.228165 - 25.571335*x2,PySRFunction(X=>10.228165 - 25.571335*x2)
6,462.3189,"aq(-10.1065645, log(x0 + x2))",0.014388729109064326,-10.1065645/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-10.1065645/sqrt(log(x0 + x2)**2 + 1))
8,446.32306,"x2 * aq(-12.489395, log(x0 + x2))",0.01760593656057413,-12.489395*x2/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-12.489395*x2/sqrt(log(x0 + x2)**2 + 1))
10,433.19305,(x2 * -10.697323) - log(x0 + (x2 + -0.3400282)),0.014929783990497714,-10.697323*x2 - log(x0 + x2 - 0.3400282),PySRFunction(X=>-10.697323*x2 - log(x0 + x2 - 0.3400282))
11,427.04666,(square(x2) * -15.505873) - log(x2 + (-0.33920008 + x0)),0.014290190336831127,-15.505873*x2**2 - log(x0 + x2 - 0.33920008),PySRFunction(X=>-15.505873*x2**2 - log(x0 + x2 - 0.33920008))
12,419.63235,(x2 * -14.692213) + ((x0 - log(x2 + x0)) * 7.562773),0.01751431047757388,7.562773*x0 - 14.692213*x2 - 7.562773*log(x0 + x2),PySRFunction(X=>7.562773*x0 - 14.692213*x2 - 7.562773*log(x0 + x2))
13,419.16968,x0 + ((square(x2) * -16.382574) - log(x2 + (-0.34575126 + x0))),0.0011031686390212318,x0 - 16.382574*x2**2 - log(x0 + x2 - 0.34575126),PySRFunction(X=>x0 - 16.382574*x2**2 - log(x0 + x2 - 0.34575126))
14,412.45938,"((x0 - log(aq(x0, x1) + x2)) * 8.244891) + (x2 * -15.433439)",0.016138073948038477,8.244891*x0 - 15.433439*x2 - 8.244891*log(x0/sqrt(x1**2 + 1) + x2),PySRFunction(X=>8.244891*x0 - 15.433439*x2 - 8.244891*log(x0/sqrt(x1**2 + 1) + x2))
16,408.21143,"(x2 * (-14.806179 - x0)) + ((x0 - log(x2 + aq(x0, x1))) * 8.244891)",0.005176238617534778,8.244891*x0 + x2*(-x0 - 14.806179) - 8.244891*log(x0/sqrt(x1**2 + 1) + x2),PySRFunction(X=>8.244891*x0 + x2*(-x0 - 14.806179) - 8.244891*log(x0/sqrt(x1**2 + 1) + x2))
17,396.74377,exp((x0 * x1) + 1.5158058) + ((x2 * -18.613886) - log(x2 + (-0.34685078 + x0))),0.02849459426389539,-18.613886*x2 + 4.55308852778706*exp(x0*x1) - log(x0 + x2 - 0.34685078),PySRFunction(X=>-18.613886*x2 + 4.55308852778706*exp(x0*x1) - log(x0 + x2 - 0.34685078))
19,395.44305,((exp((x0 * x1) + 1.455852) + 3.586305) - log((x2 + x0) + -0.346578)) + (x2 * -23.456823),0.0016419374017045865,-23.456823*x2 + 4.28813540101838*exp(x0*x1) - log(x0 + x2 - 0.346578) + 3.586305,PySRFunction(X=>-23.456823*x2 + 4.28813540101838*exp(x0*x1) - log(x0 + x2 - 0.346578) + 3.586305)
