Complexity,Loss,Equation,score,sympy_format,lambda_format
1,71.14633,-0.7480067,0.0,-0.748006700000000,PySRFunction(X=>-0.748006700000000)
2,67.87984,square(x0),0.046999658776476244,x0**2,PySRFunction(X=>x0**2)
3,65.44556,x1 * x0,0.03652043125198541,x0*x1,PySRFunction(X=>x0*x1)
4,61.91178,x1 * exp(x0),0.05550818347932741,x1*exp(x0),PySRFunction(X=>x1*exp(x0))
5,55.0155,x1 * (x0 * 4.7702484),0.1180955048201642,x1*x0*4.7702484,PySRFunction(X=>x1*x0*4.7702484)
7,47.824757,x0 * ((x1 * 7.6515665) + -1.575237),0.07003576471108261,x0*(x1*7.6515665 - 1.575237),PySRFunction(X=>x0*(x1*7.6515665 - 1.575237))
8,42.724876,square(log(square((x0 + x1) + 0.5232912))),0.11276210757343262,log((x0 + x1 + 0.5232912)**2)**2,PySRFunction(X=>log((x0 + x1 + 0.5232912)**2)**2)
9,38.829613,square(x0 - square(0.8757557 - x1)) * 3.2105234,0.09559814954222823,(x0 - (0.8757557 - x1)**2)**2*3.2105234,PySRFunction(X=>(x0 - (0.8757557 - x1)**2)**2*3.2105234)
10,29.508842,(3.7070765 - square(square(square(1.2908324 - x1)))) * x0,0.2744932299235523,x0*(3.7070765 - (1.2908324 - x1)**8),PySRFunction(X=>x0*(3.7070765 - (1.2908324 - x1)**8))
11,24.44079,square(square(square(square(1.022214 - x1))) - x0) * 2.9204805,0.18843648940972305,(-x0 + (1.022214 - x1)**8)**2*2.9204805,PySRFunction(X=>(-x0 + (1.022214 - x1)**8)**2*2.9204805)
12,16.860823,"9.450288 - aq(11.24268, x0 - square(square(square(x1 - 1.0156716))))",0.3712606926971671,9.450288 - 11.24268/sqrt((x0 - (x1 - 1*1.0156716)**8)**2 + 1),PySRFunction(X=>9.450288 - 11.24268/sqrt((x0 - (x1 - 1*1.0156716)**8)**2 + 1))
13,16.80773,"4.699276 - square(aq(-2.556308, x0 - square(square(square(x1 - 1.0127928)))))",0.0031538655082135976,4.699276 - 6.534710590864/((x0 - (x1 - 1*1.0127928)**8)**2 + 1),PySRFunction(X=>4.699276 - 6.534710590864/((x0 - (x1 - 1*1.0127928)**8)**2 + 1))
14,13.18954,"9.420038 - aq(11.848405, (square(square(square(x1 - 1.0616556))) - x0) - 0.35879087)",0.24241480841867433,9.420038 - 11.848405/sqrt((-x0 + (x1 - 1*1.0616556)**8 - 1*0.35879087)**2 + 1),PySRFunction(X=>9.420038 - 11.848405/sqrt((-x0 + (x1 - 1*1.0616556)**8 - 1*0.35879087)**2 + 1))
15,12.880447,"8.25941 - aq(10.771672, x1 + (x0 - square(square(1.0595793 - (x1 * 2.039452)))))",0.023713666172900095,8.25941 - 10.771672/sqrt((x0 + x1 - (1.0595793 - 2.039452*x1)**4)**2 + 1),PySRFunction(X=>8.25941 - 10.771672/sqrt((x0 + x1 - (1.0595793 - 2.039452*x1)**4)**2 + 1))
16,11.857336,"9.420038 - aq(11.848405, (square(square(square(x1 - 1.0616556))) - x0) - aq(0.35879087, x0))",0.08276367727770395,9.420038 - 11.848405/sqrt((-x0 + (x1 - 1*1.0616556)**8 - 0.35879087/sqrt(x0**2 + 1))**2 + 1),PySRFunction(X=>9.420038 - 11.848405/sqrt((-x0 + (x1 - 1*1.0616556)**8 - 0.35879087/sqrt(x0**2 + 1))**2 + 1))
18,11.32304,"aq(9.420038 - aq(11.848405, (square(square(square(x1 - 1.0616556))) - x0) - aq(0.35879087, x0)), x1)",0.023053579903443498,(9.420038 - 11.848405/sqrt((-x0 + (x1 - 1*1.0616556)**8 - 0.35879087/sqrt(x0**2 + 1))**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(9.420038 - 11.848405/sqrt((-x0 + (x1 - 1*1.0616556)**8 - 0.35879087/sqrt(x0**2 + 1))**2 + 1))/sqrt(x1**2 + 1))
