Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.715305,x0,0.0,x0,PySRFunction(X=>x0)
2,22.926933,exp(x0),0.3244870389225471,exp(x0),PySRFunction(X=>exp(x0))
3,4.2310014,x0 * 3.2691422,1.6898736303886734,x0*3.2691422,PySRFunction(X=>x0*3.2691422)
5,1.0829413,(x0 * 3.4409454) + -1.8178755,0.6813789686858565,x0*3.4409454 - 1.8178755,PySRFunction(X=>x0*3.4409454 - 1.8178755)
6,0.31970865,log(square(exp(x0) + -0.59334934)),1.2200259319239928,log((exp(x0) - 0.59334934)**2),PySRFunction(X=>log((exp(x0) - 0.59334934)**2))
8,0.01562006,(log(x0 + 1.7169405) * 7.482996) + -5.9880614,1.5094270633409967,7.482996*log(x0 + 1.7169405) - 5.9880614,PySRFunction(X=>7.482996*log(x0 + 1.7169405) - 5.9880614)
9,0.015539555,(log(square(x0 + 1.722675)) * 3.754636) + -6.02914,0.005167276882501832,3.754636*log((x0 + 1.722675)**2) - 6.02914,PySRFunction(X=>3.754636*log((x0 + 1.722675)**2) - 6.02914)
10,0.015141597,(x0 + (log(x0 + 1.1316216) * 3.8502338)) + -2.4172845,0.02594298413795725,x0 + 3.8502338*log(x0 + 1.1316216) - 2.4172845,PySRFunction(X=>x0 + 3.8502338*log(x0 + 1.1316216) - 2.4172845)
12,0.008774595,(log(x0 + 1.835002) * 7.9017982) + (-6.5109777 - (x2 * 0.37603888)),0.27279255508612127,-0.37603888*x2 + 7.9017982*log(x0 + 1.835002) - 6.5109777,PySRFunction(X=>-0.37603888*x2 + 7.9017982*log(x0 + 1.835002) - 6.5109777)
13,0.0061503816,(-5.8378773 - (x2 * 0.45422715)) + (log(square(x0 + 1.7358241)) * 3.7780309),0.35534648576668576,-0.45422715*x2 + 3.7780309*log((x0 + 1.7358241)**2) - 5.8378773,PySRFunction(X=>-0.45422715*x2 + 3.7780309*log((x0 + 1.7358241)**2) - 5.8378773)
14,0.0059794136,"(log(x0 + 1.1336396) * 3.8548) + ((x0 - aq(x2, 1.4453385)) + -2.084923)",0.028191625720312745,x0 - 0.568971886889817*x2 + 3.8548*log(x0 + 1.1336396) - 2.084923,PySRFunction(X=>x0 - 0.568971886889817*x2 + 3.8548*log(x0 + 1.1336396) - 2.084923)
15,0.005390615,"(log(x0 + 1.1453536) * 3.9369318) + aq(x0 + -2.5538518, log(x2) * -0.40865844)",0.10366302435615223,(x0 - 2.5538518)/sqrt(0.167001720583234*log(x2)**2 + 1) + 3.9369318*log(x0 + 1.1453536),PySRFunction(X=>(x0 - 2.5538518)/sqrt(0.167001720583234*log(x2)**2 + 1) + 3.9369318*log(x0 + 1.1453536))
16,0.0041888575,"(log(x0 + 1.3161691) * 4.780254) + aq(x0 + -4.4165416, aq(-1.074291, exp(log(x2))))",0.25223145487653326,4.780254*log(x0 + 1.3161691) + (x0 - 4.4165416)/sqrt(1 + 1.154101152681/(x2**2 + 1)),PySRFunction(X=>4.780254*log(x0 + 1.3161691) + (x0 - 4.4165416)/sqrt(1 + 1.154101152681/(x2**2 + 1)))
19,0.0038269926,"aq(x0 + -5.2690163, exp(aq(-2.5547647, log(square(x2))))) + (log((x0 + 2.2767541) + x0) * 3.899778)",0.030116250302916366,3.899778*log(2*x0 + 2.2767541) + (x0 - 5.2690163)/sqrt(1 + exp(-5.1095294/sqrt(log(x2**2)**2 + 1))),PySRFunction(X=>3.899778*log(2*x0 + 2.2767541) + (x0 - 5.2690163)/sqrt(1 + exp(-5.1095294/sqrt(log(x2**2)**2 + 1))))
