# param=dtau0 z=2.6 tol=0.25 log_space=True source=results/single_z_z2.6_sobolev/refit/z2.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,0.027241724,0.004363423823560808,2.1887036721547358e-05,48,True,True
17,0.04417505,0.004919748936998758,4.7428254179906134e-05,48,True,True
15,0.044666555,0.005899198619574997,5.2921295121230334e-05,48,True,True
14,0.045297813,0.0046636386698586385,5.461973773579749e-05,48,True,True
13,0.059714288,0.006578191372582587,6.810505285460326e-05,48,True,True
12,0.06685099,0.006216056945374693,7.479399850904856e-05,48,True,True
11,0.07575172,0.006804717479578171,7.784779617943084e-05,48,True,True
10,0.094827294,0.010837302180679464,9.172943153830046e-05,48,True,True
9,0.14438052,0.010240003512152374,0.00016818513296573115,48,True,True
8,0.15149273,0.012176343961509795,0.00017153034223713523,48,True,True
7,0.19260368,0.016245794875867636,0.0001942980717747636,48,True,True
6,0.49785933,0.011452248417563426,0.00023145704738526785,48,True,True
5,0.9515998,0.02966602156236897,0.0006356916747187723,48,True,True
3,1.5556415,0.010789524334024359,0.00017853624864153637,48,True,True
