# param=herei z=2.6 tol=0.25 log_space=True source=results/single_z_z2.6_sobolev/refit/z2.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,51.62821,0.18584631974177862,0.00011732945120966963,48,True,True
19,54.55675,0.19768762362047143,0.00016897830511985667,48,True,True
18,55.99298,0.19768762362204473,0.00016257866996318676,48,True,True
17,58.208206,0.17850999564336412,0.0001860101560039721,48,True,True
16,62.632687,0.18631037630460512,0.00023760579631693215,48,True,True
15,69.6727,0.15879046536214164,0.0005108195684299078,48,True,True
14,72.566086,0.15354932394380044,0.0005533380381122435,48,True,True
13,74.862854,0.14513801225490763,0.0004984235696231901,48,True,True
11,84.49988,0.2096227446347096,0.0013469787050821233,48,True,True
9,109.943825,0.502327405290582,0.0010301062189550785,48,False,True
7,139.85071,0.16947309062002786,0.0011663777501887507,48,True,True
6,178.78357,0.7365366307423498,0.0008679235298571343,48,False,True
5,188.11882,0.3879013740306446,0.0008478323365804125,48,False,True
