# param=tau0 z=2.6 tol=0.25 log_space=True source=results/single_z_z2.6_sobolev/refit/z2.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.002256408,0.006363351814623552,5.714756975175638e-05,48,True,True
18,0.0023510645,0.00608680207130774,6.325172503887672e-05,48,True,True
17,0.0026462283,0.005862874652280636,6.640557545799207e-05,48,True,True
15,0.0026648133,0.0054083046197501705,7.59716357647038e-05,48,True,True
14,0.0028023887,0.006294670192385388,7.9862731518508e-05,48,True,True
12,0.004048771,0.010204516741524727,0.00017178201774285026,48,True,True
10,0.010701468,0.0069190579873061875,0.0003949456520443411,48,True,True
8,0.018091086,0.02920029338514818,0.0006133533054057901,48,True,True
7,0.072605275,0.02908909700949769,0.0006256866873367504,48,True,True
6,0.9872395,0.2155871622847777,0.034922906207626975,48,True,True
5,1.3411642,0.13874796994367877,0.0007494949114576761,48,True,True
3,4.506223,0.46938321603779165,0.11206414931045705,48,False,True
2,22.961885,0.13950691836309292,0.1331290181807718,48,True,True
1,31.19617,0.6544363363883942,0.033705126355785466,48,False,True
