Complexity,Loss,Equation,score,sympy_format,lambda_format
1,68.2261,x0,0.0,x0,PySRFunction(X=>x0)
3,54.266113,x0 * 2.608917,0.1144636137204346,x0*2.608917,PySRFunction(X=>x0*2.608917)
4,41.958706,log(x0 - -0.12591158),0.25721401798719656,log(x0 + 0.12591158),PySRFunction(X=>log(x0 + 0.12591158))
5,38.602703,log(square(x0 + 0.30273986)),0.08336364423256143,log((x0 + 0.30273986)**2),PySRFunction(X=>log((x0 + 0.30273986)**2))
6,38.58166,log(x0 - -0.28170824) * 1.8980721,0.0005452658985179304,1.8980721*log(x0 + 0.28170824),PySRFunction(X=>1.8980721*log(x0 + 0.28170824))
7,35.29529,"aq(log(square(-0.2716986 - x0)), x1)",0.08902750675236779,log((-x0 - 0.2716986)**2)/sqrt(x1**2 + 1),PySRFunction(X=>log((-x0 - 0.2716986)**2)/sqrt(x1**2 + 1))
9,32.806076,log(square((x0 + square(square(x1))) - -0.2583841)),0.03656789256896589,log((x0 + x1**4 + 0.2583841)**2),PySRFunction(X=>log((x0 + x1**4 + 0.2583841)**2))
10,28.32799,log(square((x1 * square(x0)) - (x0 - -0.2679851))),0.1467633803350885,log((x0**2*x1 - x0 - 0.2679851)**2),PySRFunction(X=>log((x0**2*x1 - x0 - 0.2679851)**2))
11,23.24308,"log(square(aq(-0.27135217 - x0, square(x1 * exp(x0)))))",0.19784290847906352,log((-x0 - 0.27135217)**2/(x1**4*exp(4*x0) + 1)),PySRFunction(X=>log((-x0 - 0.27135217)**2/(x1**4*exp(4*x0) + 1)))
12,18.408285,"log(square(square(aq(x0 - -0.58709913, square(x1 * exp(x0))))))",0.23320661831068124,log((x0 + 0.58709913)**4/(x1**4*exp(4*x0) + 1)**2),PySRFunction(X=>log((x0 + 0.58709913)**4/(x1**4*exp(4*x0) + 1)**2))
14,16.15041,"log(square(square(aq(x0 - -0.6389943, square(exp(x0) * x1) + -0.5194905))))",0.06542769933442266,log((x0 + 0.6389943)**4/((x1**2*exp(2*x0) - 0.5194905)**2 + 1)**2),PySRFunction(X=>log((x0 + 0.6389943)**4/((x1**2*exp(2*x0) - 0.5194905)**2 + 1)**2))
16,14.811532,"log(square(square(aq(x0 - (x2 + -1.2650976), -0.5605072 + square(exp(x0) * x1)))))",0.043269684897181956,log((x0 - x2 + 1.2650976)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2),PySRFunction(X=>log((x0 - x2 + 1.2650976)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2))
17,14.704655,"aq(log(square(square(aq(x0 - -0.55410707, square(x1 * exp(x0)) + -0.5605072)))), log(x2))",0.007241956225910589,log((x0 + 0.55410707)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2)/sqrt(log(x2)**2 + 1),PySRFunction(X=>log((x0 + 0.55410707)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2)/sqrt(log(x2)**2 + 1))
19,14.656156,"aq(log(square(square(aq(x0 - -0.55410707, square(x1 * exp(x0)) + -0.5605072)))), log(aq(x2, x1)))",0.0016518291715604905,log((x0 + 0.55410707)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2)/sqrt(log(x2/sqrt(x1**2 + 1))**2 + 1),PySRFunction(X=>log((x0 + 0.55410707)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2)/sqrt(log(x2/sqrt(x1**2 + 1))**2 + 1))
20,14.4240885,"aq(log(square(square(aq(x0 - -0.55410707, square(x1 * exp(x0)) + -0.5605072)))), log(aq(x2, square(x1))))",0.01596083049041534,log((x0 + 0.55410707)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2)/sqrt(log(x2/sqrt(x1**4 + 1))**2 + 1),PySRFunction(X=>log((x0 + 0.55410707)**4/((x1**2*exp(2*x0) - 0.5605072)**2 + 1)**2)/sqrt(log(x2/sqrt(x1**4 + 1))**2 + 1))
