Complexity,Loss,Equation,score,sympy_format,lambda_format
1,82.61721,-2.2859356,0.0,-2.28593560000000,PySRFunction(X=>-2.28593560000000)
3,39.15146,x0 * -3.0218236,0.37339014906445295,x0*(-3.0218236),PySRFunction(X=>x0*(-3.0218236))
5,35.994694,"aq(x0 * -3.2737274, x1)",0.04203308775096632,-3.2737274*x0/sqrt(x1**2 + 1),PySRFunction(X=>-3.2737274*x0/sqrt(x1**2 + 1))
6,34.219162,(exp(x1) + -4.3602514) * x0,0.05058575914337097,x0*(exp(x1) - 4.3602514),PySRFunction(X=>x0*(exp(x1) - 4.3602514))
7,30.040737,"(aq(-16.836874, x1) + 12.965557) * x0",0.130231419011332,x0*(12.965557 - 16.836874/sqrt(x1**2 + 1)),PySRFunction(X=>x0*(12.965557 - 16.836874/sqrt(x1**2 + 1)))
8,28.471771,x0 * (square(x1 * -2.4423952) + -3.8394852),0.05364125536376575,x0*(5.96529431298304*x1**2 - 3.8394852),PySRFunction(X=>x0*(5.96529431298304*x1**2 - 3.8394852))
9,26.56228,x0 * (square(x1 * exp(x1)) + -3.6396987),0.06942094088854718,x0*(x1**2*exp(2*x1) - 3.6396987),PySRFunction(X=>x0*(x1**2*exp(2*x1) - 3.6396987))
10,24.276024,x0 * (square((x1 * 3.6287875) - x0) + -4.0194306),0.09000296769352914,x0*((-x0 + x1*3.6287875)**2 - 4.0194306),PySRFunction(X=>x0*((-x0 + x1*3.6287875)**2 - 4.0194306))
12,22.775276,(x0 * (square((x1 * 3.6287875) - x0) + -4.0194306)) - x2,0.0319068174901153,x0*((-x0 + x1*3.6287875)**2 - 4.0194306) - x2,PySRFunction(X=>x0*((-x0 + x1*3.6287875)**2 - 4.0194306) - x2)
13,21.490814,((square((square(x1) * 4.1310225) - x0) + -4.091703) * x0) - x2,0.05804997360374397,x0*((-x0 + x1**2*4.1310225)**2 - 4.091703) - x2,PySRFunction(X=>x0*((-x0 + x1**2*4.1310225)**2 - 4.091703) - x2)
15,20.556187,((x0 + -0.44591868) * (square((square(x1) * 3.4404254) - x0) + -3.5949285)) + -2.085275,0.02223181091534187,(x0 - 0.44591868)*((-x0 + x1**2*3.4404254)**2 - 3.5949285) - 2.085275,PySRFunction(X=>(x0 - 0.44591868)*((-x0 + x1**2*3.4404254)**2 - 3.5949285) - 2.085275)
16,20.54767,((x0 * -4.166474) + 3.9352694) - exp(x2 + ((x1 + x2) - (x1 * x0))),0.0004144136703226161,x0*(-4.166474) - exp(-x0*x1 + x1 + x2 + x2) + 3.9352694,PySRFunction(X=>x0*(-4.166474) - exp(-x0*x1 + x1 + x2 + x2) + 3.9352694)
17,19.101702,((x0 + -0.46392876) * (square((square(x1) * 3.5765634) - x0) + -3.9235365)) + (-1.5690658 - x2),0.0729701114887129,-x2 + (x0 - 0.46392876)*((-x0 + x1**2*3.5765634)**2 - 3.9235365) - 1.5690658,PySRFunction(X=>-x2 + (x0 - 0.46392876)*((-x0 + x1**2*3.5765634)**2 - 3.9235365) - 1.5690658)
18,18.042631,((x0 * -3.7164407) + 3.9582407) - exp(x2 + ((x1 - (x0 * (x1 * x1))) + x2)),0.05704009445762697,x0*(-3.7164407) - exp(-x0*x1*x1 + x1 + x2 + x2) + 3.9582407,PySRFunction(X=>x0*(-3.7164407) - exp(-x0*x1*x1 + x1 + x2 + x2) + 3.9582407)
