Complexity,Loss,Equation,score,sympy_format,lambda_format
1,421.0919,-13.36946,0.0,-13.3694600000000,PySRFunction(X=>-13.3694600000000)
3,313.8496,x2 * -26.738894,0.14696860468915626,x2*(-26.738894),PySRFunction(X=>x2*(-26.738894))
4,263.38263,square(x2) * -39.319847,0.17530604846414785,x2**2*(-39.319847),PySRFunction(X=>x2**2*(-39.319847))
5,242.35472,(x2 * -66.84462) + 26.737595,0.08320540373815072,26.737595 + x2*(-66.84462),PySRFunction(X=>26.737595 + x2*(-66.84462))
6,240.19147,"square(aq(x2, x1)) * -44.295425",0.008966041124202625,(x2**2/(x1**2 + 1))*(-44.295425),PySRFunction(X=>(x2**2/(x1**2 + 1))*(-44.295425))
7,218.69916,"(aq(-72.53169, x1) * x2) + 27.94995",0.09373931014461126,x2*(-72.53169/sqrt(x1**2 + 1)) + 27.94995,PySRFunction(X=>x2*(-72.53169/sqrt(x1**2 + 1)) + 27.94995)
9,213.85152,"aq(aq(x2 * -75.37163, x1) + 29.133167, x1)",0.011207572181971222,(-75.37163*x2/sqrt(x1**2 + 1) + 29.133167)/sqrt(x1**2 + 1),PySRFunction(X=>(-75.37163*x2/sqrt(x1**2 + 1) + 29.133167)/sqrt(x1**2 + 1))
10,210.32922,"27.94995 + (x2 * (aq(-72.53169, x1) + square(x0)))",0.01660792501151625,x2*(x0**2 - 72.53169/sqrt(x1**2 + 1)) + 27.94995,PySRFunction(X=>x2*(x0**2 - 72.53169/sqrt(x1**2 + 1)) + 27.94995)
11,194.7526,"aq((x2 * aq(-76.95516, x1)) + 30.328669, x0 * 0.46391043)",0.07694398231093719,(x2*(-76.95516/sqrt(x1**2 + 1)) + 30.328669)/sqrt(0.215212887062785*x0**2 + 1),PySRFunction(X=>(x2*(-76.95516/sqrt(x1**2 + 1)) + 30.328669)/sqrt(0.215212887062785*x0**2 + 1))
12,169.50264,(15.125907 - ((x0 + 10.151955) * exp(x2))) * (3.622413 - x0),0.13886153319058367,(3.622413 - x0)*(15.125907 - (x0 + 10.151955)*exp(x2)),PySRFunction(X=>(3.622413 - x0)*(15.125907 - (x0 + 10.151955)*exp(x2)))
14,144.35289,"aq(4.7675495 * (11.840983 - ((7.949057 + x0) * exp(x2))), x1 + x0)",0.0803037876145505,4.7675495*(11.840983 - (x0 + 7.949057)*exp(x2))/sqrt((x0 + x1)**2 + 1),PySRFunction(X=>4.7675495*(11.840983 - (x0 + 7.949057)*exp(x2))/sqrt((x0 + x1)**2 + 1))
16,137.02103,"(aq(8.507143 - ((x0 + 6.3803) * exp(x2)), x0 + x1) - -1.139774) * 5.796502",0.026063254497035077,((8.507143 - (x0 + 6.3803)*exp(x2))/sqrt((x0 + x1)**2 + 1) - 1*(-1.139774))*5.796502,PySRFunction(X=>((8.507143 - (x0 + 6.3803)*exp(x2))/sqrt((x0 + x1)**2 + 1) - 1*(-1.139774))*5.796502)
18,131.11002,"aq((aq(8.503004 - (exp(x2) * (x0 + 6.3435535)), x0 + x1) - -1.122176) * 6.377549, x1)",0.02204879982115792,6.377549*((8.503004 - (x0 + 6.3435535)*exp(x2))/sqrt((x0 + x1)**2 + 1) - 1*(-1.122176))/sqrt(x1**2 + 1),PySRFunction(X=>6.377549*((8.503004 - (x0 + 6.3435535)*exp(x2))/sqrt((x0 + x1)**2 + 1) - 1*(-1.122176))/sqrt(x1**2 + 1))
20,130.17657,"aq(aq(aq(8.953871 - ((x0 + 6.6072774) * exp(x2)), x1 + x0) - -1.06161, x1), x1) * 6.2998114",0.0035725291955975447,(((8.953871 - (x0 + 6.6072774)*exp(x2))/sqrt((x0 + x1)**2 + 1) - 1*(-1.06161))/(x1**2 + 1))*6.2998114,PySRFunction(X=>(((8.953871 - (x0 + 6.6072774)*exp(x2))/sqrt((x0 + x1)**2 + 1) - 1*(-1.06161))/(x1**2 + 1))*6.2998114)
