Complexity,Loss,Equation,score,sympy_format,lambda_format
1,59.3974,-0.8984653,0.0,-0.898465300000000,PySRFunction(X=>-0.898465300000000)
3,1.5556415,x0 * -3.3147738,1.8211812268070169,x0*(-3.3147738),PySRFunction(X=>x0*(-3.3147738))
5,0.9515998,(x0 + -0.2350116) * -3.3896873,0.24574935573925596,(x0 - 0.2350116)*(-3.3896873),PySRFunction(X=>(x0 - 0.2350116)*(-3.3896873))
6,0.49785933,(x0 * -3.3682275) - log(x2),0.6478270010134349,-3.3682275*x0 - log(x2),PySRFunction(X=>-3.3682275*x0 - log(x2))
7,0.19260368,((x0 + -0.83561367) + x2) * -3.3981173,0.9496829611040898,(x0 + x2 - 0.83561367)*(-3.3981173),PySRFunction(X=>(x0 + x2 - 0.83561367)*(-3.3981173))
8,0.15149273,((x0 + -0.63524777) + square(x2)) * -3.393444,0.24009696913957368,(x0 + x2**2 - 0.63524777)*(-3.393444),PySRFunction(X=>(x0 + x2**2 - 0.63524777)*(-3.393444))
9,0.14438052,(((x2 * 1.3254209) + -1.0301949) + x0) * -3.389495,0.04808532268794065,(x0 + x2*1.3254209 - 1.0301949)*(-3.389495),PySRFunction(X=>(x0 + x2*1.3254209 - 1.0301949)*(-3.389495))
10,0.094827294,"-3.3970628 * (square(aq(x2, x1)) + (-0.5985084 + x0))",0.42039503509655013,-3.3970628*(x0 + x2**2/(x1**2 + 1) - 0.5985084),PySRFunction(X=>-3.3970628*(x0 + x2**2/(x1**2 + 1) - 0.5985084))
11,0.07575172,"(x0 * -3.3895717) - (-3.51463 - (aq(x2, x1) * -4.7716694))",0.22459612881252788,x0*(-3.3895717) - (-(-4.7716694)*x2/sqrt(x1**2 + 1) - 3.51463),PySRFunction(X=>x0*(-3.3895717) - (-(-4.7716694)*x2/sqrt(x1**2 + 1) - 3.51463))
12,0.06685099,"((square(aq(x2, x1) + 0.12617572) + x0) * -3.3897467) + 2.5680342",0.12499503768953102,2.5680342 + (x0 + (x2/sqrt(x1**2 + 1) + 0.12617572)**2)*(-3.3897467),PySRFunction(X=>2.5680342 + (x0 + (x2/sqrt(x1**2 + 1) + 0.12617572)**2)*(-3.3897467))
13,0.059714288,"(x0 + (-0.6874171 + (square(aq(x2, square(x1))) * 1.1904165))) * -3.3895695",0.11289479096583686,(x0 + (x2**2/(x1**4 + 1))*1.1904165 - 0.6874171)*(-3.3895695),PySRFunction(X=>(x0 + (x2**2/(x1**4 + 1))*1.1904165 - 0.6874171)*(-3.3895695))
14,0.045297813,"((square(square(aq(x2 + 0.09673956, square(x1)))) + x0) * -3.389461) + 1.8941997",0.2763125685690885,1.8941997 + (x0 + (x2 + 0.09673956)**4/(x1**4 + 1)**2)*(-3.389461),PySRFunction(X=>1.8941997 + (x0 + (x2 + 0.09673956)**4/(x1**4 + 1)**2)*(-3.389461))
15,0.044666555,"((x0 + square(square(aq(x2, x1 + -0.18377474)) + 0.2214818)) * -3.3898358) + 2.1849723",0.014033741898189178,2.1849723 + (x0 + (x2**2/((x1 - 0.18377474)**2 + 1) + 0.2214818)**2)*(-3.3898358),PySRFunction(X=>2.1849723 + (x0 + (x2**2/((x1 - 0.18377474)**2 + 1) + 0.2214818)**2)*(-3.3898358))
17,0.04417505,"((-3.3896732 * x0) - (-3.7508767 - aq(-5.0694737 * x2, (x1 + -0.286322) + x1))) - x1",0.005532430606322127,-3.3896732*x0 - x1 - (-(-1)*5.0694737*x2/sqrt((x1 + x1 - 0.286322)**2 + 1) - 3.7508767),PySRFunction(X=>-3.3896732*x0 - x1 - (-(-1)*5.0694737*x2/sqrt((x1 + x1 - 0.286322)**2 + 1) - 3.7508767))
19,0.027241724,"((x0 * -3.389496) - (-3.7674513 - aq(aq(x2 * -5.2101607, x1), (x1 + -0.43249577) + x1))) - x1",0.24170519075396643,x0*(-3.389496) - x1 - (-(-1)*5.2101607*x2/(sqrt(x1**2 + 1)*sqrt((x1 + x1 - 0.43249577)**2 + 1)) - 3.7674513),PySRFunction(X=>x0*(-3.389496) - x1 - (-(-1)*5.2101607*x2/(sqrt(x1**2 + 1)*sqrt((x1 + x1 - 0.43249577)**2 + 1)) - 3.7674513))
