Complexity,Loss,Equation,score,sympy_format,lambda_format
1,287.68494,-8.749333,0.0,-8.74933300000000,PySRFunction(X=>-8.74933300000000)
3,241.75203,x2 * -17.498304,0.0869766957954227,x2*(-17.498304),PySRFunction(X=>x2*(-17.498304))
4,220.13655,square(x2) * -25.733662,0.09366449577534336,x2**2*(-25.733662),PySRFunction(X=>x2**2*(-25.733662))
5,188.11882,"aq(-11.910315, x2 - x0)",0.1571742511620398,-11.910315/sqrt((-x0 + x2)**2 + 1),PySRFunction(X=>-11.910315/sqrt((-x0 + x2)**2 + 1))
6,178.78357,"aq(-9.815936, exp(x0 * -3.103704))",0.050897816328291004,-9.815936/sqrt(1 + exp(-6.207408*x0)),PySRFunction(X=>-9.815936/sqrt(1 + exp(-6.207408*x0)))
7,139.85071,"aq(x2 * -21.345482, x2 - x0)",0.2456004716337666,-21.345482*x2/sqrt((-x0 + x2)**2 + 1),PySRFunction(X=>-21.345482*x2/sqrt((-x0 + x2)**2 + 1))
9,109.943825,"9.076695 - aq(x2 * 31.627342, x0 - x2)",0.12030297148564564,9.076695 - 31.627342*x2/sqrt((x0 - x2)**2 + 1),PySRFunction(X=>9.076695 - 31.627342*x2/sqrt((x0 - x2)**2 + 1))
11,84.49988,"(0.38119173 - aq(x2, 0.55101144 - aq(x0, x2))) * 44.025314",0.13160971964404328,(0.38119173 - x2/sqrt((0.55101144 - x0/sqrt(x2**2 + 1))**2 + 1))*44.025314,PySRFunction(X=>(0.38119173 - x2/sqrt((0.55101144 - x0/sqrt(x2**2 + 1))**2 + 1))*44.025314)
13,74.862854,"16.766533 - (aq(aq(x2, 0.55733925 - aq(x0, x2)), x1) * 46.529343)",0.06054614399757451,16.766533 - 46.529343*x2/(sqrt(x1**2 + 1)*sqrt((0.55733925 - x0/sqrt(x2**2 + 1))**2 + 1)),PySRFunction(X=>16.766533 - 46.529343*x2/(sqrt(x1**2 + 1)*sqrt((0.55733925 - x0/sqrt(x2**2 + 1))**2 + 1)))
14,72.566086,"16.76278 - (aq(aq(x2, aq(x0, x2) - 0.5578875), square(x1)) * 46.471905)",0.031160148545641253,16.76278 - 46.471905*x2/(sqrt(x1**4 + 1)*sqrt((x0/sqrt(x2**2 + 1) - 1*0.5578875)**2 + 1)),PySRFunction(X=>16.76278 - 46.471905*x2/(sqrt(x1**4 + 1)*sqrt((x0/sqrt(x2**2 + 1) - 1*0.5578875)**2 + 1)))
15,69.6727,"17.034782 - (aq(46.95981, x1) * aq(x2, aq(x0, x2) - aq(0.57772136, x1)))",0.04068911528528359,17.034782 - x2/sqrt((x0/sqrt(x2**2 + 1) - 0.57772136/sqrt(x1**2 + 1))**2 + 1)*46.95981/sqrt(x1**2 + 1),PySRFunction(X=>17.034782 - x2/sqrt((x0/sqrt(x2**2 + 1) - 0.57772136/sqrt(x1**2 + 1))**2 + 1)*46.95981/sqrt(x1**2 + 1))
16,62.632687,"(0.37906554 - aq(x2, 0.56520325 - aq(x0, x2))) * (49.46233 - square(square(exp(x1))))",0.10652126403842385,(0.37906554 - x2/sqrt((0.56520325 - x0/sqrt(x2**2 + 1))**2 + 1))*(49.46233 - exp(4*x1)),PySRFunction(X=>(0.37906554 - x2/sqrt((0.56520325 - x0/sqrt(x2**2 + 1))**2 + 1))*(49.46233 - exp(4*x1)))
17,58.208206,"aq((0.37915376 - aq(x2, aq(x0, x2) - 0.56172085)) * 48.410202, square(square(x1)) * 6.625223)",0.07326095701739405,48.410202*(0.37915376 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56172085)**2 + 1))/sqrt(43.893579799729*x1**8 + 1),PySRFunction(X=>48.410202*(0.37915376 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56172085)**2 + 1))/sqrt(43.893579799729*x1**8 + 1))
18,55.99298,"aq((0.37705517 - aq(x2, aq(x0, x2) - 0.56690115)) * 49.342125, square(square(x1 + square(x1))))",0.03880001562745594,49.342125*(0.37705517 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56690115)**2 + 1))/sqrt((x1**2 + x1)**8 + 1),PySRFunction(X=>49.342125*(0.37705517 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56690115)**2 + 1))/sqrt((x1**2 + x1)**8 + 1))
19,54.55675,"aq((0.37705517 - aq(x2, aq(x0, x2) - 0.56690115)) * 49.342125, square(square(square(x1 + square(x1)))))",0.02598488142211342,49.342125*(0.37705517 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56690115)**2 + 1))/sqrt((x1**2 + x1)**16 + 1),PySRFunction(X=>49.342125*(0.37705517 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56690115)**2 + 1))/sqrt((x1**2 + x1)**16 + 1))
20,51.62821,"(0.37906554 - aq(x2, aq(x0, x2) - 0.56520325)) * aq(49.46233, square(x2 - square(x1 * exp(x1))))",0.05517321578740795,(0.37906554 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56520325)**2 + 1))*(49.46233/sqrt((-x1**2*exp(2*x1) + x2)**4 + 1)),PySRFunction(X=>(0.37906554 - x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56520325)**2 + 1))*(49.46233/sqrt((-x1**2*exp(2*x1) + x2)**4 + 1)))
