Complexity,Loss,Equation,score,sympy_format,lambda_format
1,397.56372,-4.458083,0.0,-4.45808300000000,PySRFunction(X=>-4.45808300000000)
3,384.8523,-4.0003147 - x0,0.016247799408656255,-x0 - 4.0003147,PySRFunction(X=>-x0 - 4.0003147)
4,379.19675,log(0.800587 - x2),0.014804424647859119,log(0.800587 - x2),PySRFunction(X=>log(0.800587 - x2))
5,373.84888,(x2 * -8.166704) - x0,0.014203548081547957,-x0 + x2*(-8.166704),PySRFunction(X=>-x0 + x2*(-8.166704))
6,366.46625,log(0.800587 - x2) - x0,0.0199452218134903,-x0 + log(0.800587 - x2),PySRFunction(X=>-x0 + log(0.800587 - x2))
7,364.99042,((x2 * -22.299791) + 9.423862) - x0,0.004035323111293051,-x0 + x2*(-22.299791) + 9.423862,PySRFunction(X=>-x0 + x2*(-22.299791) + 9.423862)
8,362.05106,(x2 * -12.003747) + exp(1.181608 - x0),0.008085855059750595,x2*(-12.003747) + exp(1.181608 - x0),PySRFunction(X=>x2*(-12.003747) + exp(1.181608 - x0))
9,360.02972,exp(exp(x0 * -1.8508073)) + (x2 * -11.36158),0.005598668004762127,x2*(-11.36158) + exp(exp(x0*(-1.8508073))),PySRFunction(X=>x2*(-11.36158) + exp(exp(x0*(-1.8508073))))
10,358.854,"(aq(x0, x0) - log(square(log(x2)))) * -2.588607",0.0032709630655475964,-2.588607*x0/sqrt(x0**2 + 1) + 2.588607*log(log(x2)**2),PySRFunction(X=>-2.588607*x0/sqrt(x0**2 + 1) + 2.588607*log(log(x2)**2))
11,358.01804,"aq(exp(exp(x0 * -1.8335495)) + (x2 * -11.367717), x1)",0.0023322443400753926,(x2*(-11.367717) + exp(exp(x0*(-1.8335495))))/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-11.367717) + exp(exp(x0*(-1.8335495))))/sqrt(x1**2 + 1))
12,356.639,"(log(square(log(x2))) - aq(x0, x0)) * (2.7987742 - x1)",0.003859310506896973,(2.7987742 - x1)*(-x0/sqrt(x0**2 + 1) + log(log(x2)**2)),PySRFunction(X=>(2.7987742 - x1)*(-x0/sqrt(x0**2 + 1) + log(log(x2)**2)))
13,353.0647,"aq((x2 + (x0 + x2)) * -13.217648, x0 + 0.8534172) - -8.773941",0.01007273942824051,-1*(-8.773941) - 13.217648*(x0 + x2 + x2)/sqrt((x0 + 0.8534172)**2 + 1),PySRFunction(X=>-1*(-8.773941) - 13.217648*(x0 + x2 + x2)/sqrt((x0 + 0.8534172)**2 + 1))
15,345.32294,"(((x2 + x0) + x2) * aq(-13.430995, (x1 + x0) - -0.5611548)) - -9.435108",0.011085644542057838,(-13.430995/sqrt((x0 + x1 - 1*(-0.5611548))**2 + 1))*(x0 + x2 + x2) - 1*(-9.435108),PySRFunction(X=>(-13.430995/sqrt((x0 + x1 - 1*(-0.5611548))**2 + 1))*(x0 + x2 + x2) - 1*(-9.435108))
17,343.0507,"aq(aq((x2 + (x2 + x0)) * -14.458676, (x0 + x1) - -0.5908982) - -10.147965, x1)",0.003300893759809954,(-1*(-10.147965) - 14.458676*(x0 + x2 + x2)/sqrt((x0 + x1 - 1*(-0.5908982))**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(-1*(-10.147965) - 14.458676*(x0 + x2 + x2)/sqrt((x0 + x1 - 1*(-0.5908982))**2 + 1))/sqrt(x1**2 + 1))
19,342.1584,"aq(aq(aq((x2 + (x0 + x2)) * -13.431149, (x0 + x1) - -0.55258316) - -9.435514, x1), x1)",0.0013022309604310037,(-1*(-9.435514) - 13.431149*(x0 + x2 + x2)/sqrt((x0 + x1 - 1*(-0.55258316))**2 + 1))/(x1**2 + 1),PySRFunction(X=>(-1*(-9.435514) - 13.431149*(x0 + x2 + x2)/sqrt((x0 + x1 - 1*(-0.55258316))**2 + 1))/(x1**2 + 1))
