Complexity,Loss,Equation,score,sympy_format,lambda_format
1,77.50336,-1.3223568,0.0,-1.32235680000000,PySRFunction(X=>-1.32235680000000)
3,73.65284,x1 * x0,0.02547929366633593,x0*x1,PySRFunction(X=>x0*x1)
4,70.91205,x1 * exp(x0),0.03792232614175203,x1*exp(x0),PySRFunction(X=>x1*exp(x0))
5,65.57001,x1 * (x0 * 4.3174376),0.07832194999950765,x1*x0*4.3174376,PySRFunction(X=>x1*x0*4.3174376)
6,63.07196,square(x2 - (x1 + x0)),0.03884213001001671,(x2 - (x0 + x1))**2,PySRFunction(X=>(x2 - (x0 + x1))**2)
7,48.676746,(x1 - 0.27659076) * (x0 * 8.736768),0.25907487558923104,(x1 - 1*0.27659076)*x0*8.736768,PySRFunction(X=>(x1 - 1*0.27659076)*x0*8.736768)
8,47.165398,log(exp(exp(x1)) + -2.704326) * x0,0.031540890658101735,x0*log(exp(exp(x1)) - 2.704326),PySRFunction(X=>x0*log(exp(exp(x1)) - 2.704326))
9,37.234665,log(square((10.638786 * x1) + -0.45491347)) * x0,0.23642034831630757,x0*log((10.638786*x1 - 0.45491347)**2),PySRFunction(X=>x0*log((10.638786*x1 - 0.45491347)**2))
11,26.417768,"aq(-10.89359, 1.1254057 - ((x1 * 4.4032207) + x0)) + 7.1344867",0.1716016840693263,7.1344867 - 10.89359/sqrt((1.1254057 - (x0 + x1*4.4032207))**2 + 1),PySRFunction(X=>7.1344867 - 10.89359/sqrt((1.1254057 - (x0 + x1*4.4032207))**2 + 1))
13,24.416117,"aq(-11.047657, x0 + aq((x1 * 4.5935802) - 1.1428155, x1)) + 7.3144674",0.03939668352084951,7.3144674 - 11.047657/sqrt((x0 + (x1*4.5935802 - 1*1.1428155)/sqrt(x1**2 + 1))**2 + 1),PySRFunction(X=>7.3144674 - 11.047657/sqrt((x0 + (x1*4.5935802 - 1*1.1428155)/sqrt(x1**2 + 1))**2 + 1))
14,23.543444,"aq(-11.673018, x0 + ((x1 * 4.812475) - 1.1470495)) + aq(12.511478, exp(x1))",0.036396051736429916,12.511478/sqrt(exp(2*x1) + 1) - 11.673018/sqrt((x0 + x1*4.812475 - 1*1.1470495)**2 + 1),PySRFunction(X=>12.511478/sqrt(exp(2*x1) + 1) - 11.673018/sqrt((x0 + x1*4.812475 - 1*1.1470495)**2 + 1))
15,19.026592,"aq(-11.207121, x0 + aq((x1 * 5.470109) - 1.2196594, x1 * 5.470109)) + 7.6228766",0.21300981567776955,7.6228766 - 11.207121/sqrt((x0 + (x1*5.470109 - 1*1.2196594)/sqrt(29.922092471881*x1**2 + 1))**2 + 1),PySRFunction(X=>7.6228766 - 11.207121/sqrt((x0 + (x1*5.470109 - 1*1.2196594)/sqrt(29.922092471881*x1**2 + 1))**2 + 1))
17,18.008175,"aq(aq(-11.994351, x0 + aq((x1 * 7.231262) - 1.4639243, x1 * -6.6530356)), -0.52365214) + 7.1522193",0.027505879077855316,7.1522193 - 10.6256616517664/sqrt((x0 + (x1*7.231262 - 1*1.4639243)/sqrt(44.2628826948674*x1**2 + 1))**2 + 1),PySRFunction(X=>7.1522193 - 10.6256616517664/sqrt((x0 + (x1*7.231262 - 1*1.4639243)/sqrt(44.2628826948674*x1**2 + 1))**2 + 1))
19,16.668947,"(aq(-10.602717, aq((x1 * 7.1355395) - 1.4737487, x1 * 7.2950525) + x0) + aq(9.071471, x2)) + -0.5721769",0.038639147029666504,-0.5721769 - 10.602717/sqrt((x0 + (x1*7.1355395 - 1*1.4737487)/sqrt(53.2177909777562*x1**2 + 1))**2 + 1) + 9.071471/sqrt(x2**2 + 1),PySRFunction(X=>-0.5721769 - 10.602717/sqrt((x0 + (x1*7.1355395 - 1*1.4737487)/sqrt(53.2177909777562*x1**2 + 1))**2 + 1) + 9.071471/sqrt(x2**2 + 1))
