Complexity,Loss,Equation,score,sympy_format,lambda_format
1,100.012764,x0,0.0,x0,PySRFunction(X=>x0)
2,91.10041,exp(x0),0.09333551303816712,exp(x0),PySRFunction(X=>exp(x0))
3,57.69044,"aq(-7.3375406, x0)",0.45687082959317415,-7.3375406/sqrt(x0**2 + 1),PySRFunction(X=>-7.3375406/sqrt(x0**2 + 1))
4,52.20291,"aq(-8.91156, exp(x0))",0.09995323475024187,-8.91156/sqrt(exp(2*x0) + 1),PySRFunction(X=>-8.91156/sqrt(exp(2*x0) + 1))
5,39.385315,"6.8486943 - aq(12.097945, x0)",0.2817452093691427,6.8486943 - 12.097945/sqrt(x0**2 + 1),PySRFunction(X=>6.8486943 - 12.097945/sqrt(x0**2 + 1))
7,27.686049,"(x2 * aq(-19.112236, x0)) - -6.3135247",0.17623219549026023,x2*(-19.112236/sqrt(x0**2 + 1)) - 1*(-6.3135247),PySRFunction(X=>x2*(-19.112236/sqrt(x0**2 + 1)) - 1*(-6.3135247))
9,24.863018,"((x2 * -19.307482) + aq(-12.070342, x0)) + 18.47189",0.05377358077912677,x2*(-19.307482) + 18.47189 - 12.070342/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-19.307482) + 18.47189 - 12.070342/sqrt(x0**2 + 1))
11,23.662086,"aq((x2 * aq(-25.442225, aq(x0, x1))) - -8.761694, x2)",0.024753729104475517,(x2*(-25.442225/sqrt(x0**2/(x1**2 + 1) + 1)) - 1*(-8.761694))/sqrt(x2**2 + 1),PySRFunction(X=>(x2*(-25.442225/sqrt(x0**2/(x1**2 + 1) + 1)) - 1*(-8.761694))/sqrt(x2**2 + 1))
13,22.548094,"aq((-38.051823 * aq(x2, aq(x0, x1))) - -13.004815, x2 * 2.1914437)",0.024111740624775904,(-38.051823*x2/sqrt(x0**2/(x1**2 + 1) + 1) - 1*(-13.004815))/sqrt(4.80242549026969*x2**2 + 1),PySRFunction(X=>(-38.051823*x2/sqrt(x0**2/(x1**2 + 1) + 1) - 1*(-13.004815))/sqrt(4.80242549026969*x2**2 + 1))
14,22.36724,"aq((x2 * aq(-29.362328, x0)) - -10.440753, aq(x1 + x2, square(x0)))",0.00805315073078975,(x2*(-29.362328/sqrt(x0**2 + 1)) - 1*(-10.440753))/sqrt(1 + (x1 + x2)**2/(x0**4 + 1)),PySRFunction(X=>(x2*(-29.362328/sqrt(x0**2 + 1)) - 1*(-10.440753))/sqrt(1 + (x1 + x2)**2/(x0**4 + 1)))
15,21.576473,"aq((aq(x2, x0) * -28.593166) - -9.991804, aq(x2 + x1, -0.21764925 + x0))",0.035993880260384345,((x2/sqrt(x0**2 + 1))*(-28.593166) - 1*(-9.991804))/sqrt((x1 + x2)**2/((x0 - 0.21764925)**2 + 1) + 1),PySRFunction(X=>((x2/sqrt(x0**2 + 1))*(-28.593166) - 1*(-9.991804))/sqrt((x1 + x2)**2/((x0 - 0.21764925)**2 + 1) + 1))
17,17.693642,"aq(-14.400998 * x2, (x0 - x1) + 0.38082457) - aq(-51.788254, aq(x2 * -33.134502, x0))",0.09919907104720417,-14.400998*x2/sqrt((x0 - x1 + 0.38082457)**2 + 1) - (-1)*51.788254/sqrt(1097.895222788*x2**2/(x0**2 + 1) + 1),PySRFunction(X=>-14.400998*x2/sqrt((x0 - x1 + 0.38082457)**2 + 1) - (-1)*51.788254/sqrt(1097.895222788*x2**2/(x0**2 + 1) + 1))
19,17.51699,"((x1 + -14.400998) * aq(x2, (x0 - x1) + 0.38082457)) - aq(-51.788254, aq(x2 * -33.134502, x0))",0.005017049456937652,(x2/sqrt((x0 - x1 + 0.38082457)**2 + 1))*(x1 - 14.400998) - (-1)*51.788254/sqrt(1097.895222788*x2**2/(x0**2 + 1) + 1),PySRFunction(X=>(x2/sqrt((x0 - x1 + 0.38082457)**2 + 1))*(x1 - 14.400998) - (-1)*51.788254/sqrt(1097.895222788*x2**2/(x0**2 + 1) + 1))
20,17.467564,"square(x1) + ((x2 * aq(-14.400998, 0.38082457 + (x0 - x1))) - aq(-51.788254, aq(x2 * -33.134502, x0)))",0.0028255917102520305,x1**2 + x2*(-14.400998/sqrt((x0 - x1 + 0.38082457)**2 + 1)) - (-1)*51.788254/sqrt(1097.895222788*x2**2/(x0**2 + 1) + 1),PySRFunction(X=>x1**2 + x2*(-14.400998/sqrt((x0 - x1 + 0.38082457)**2 + 1)) - (-1)*51.788254/sqrt(1097.895222788*x2**2/(x0**2 + 1) + 1))
