# param=alphaq z=2.6 tol=0.25 log_space=True source=results/single_z_z2.6_value/refit/z2.6/pareto_alphaq.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,2.738317,0.49250134616803676,0.00022729926927995771,48,False,True
17,2.8009467,0.15141302229432507,0.0002308067486134988,48,True,True
15,2.91093,0.3143597275349461,0.00022446621053998685,48,False,True
14,3.1458178,0.7802895460053633,0.0003872207285420396,48,False,True
13,3.2400365,0.7522224394574296,0.00038232293732195084,48,False,True
12,3.6888635,0.8140017199312337,0.0004295015743238128,48,False,True
11,4.099297,0.7621016776524725,0.0004468447638602452,48,False,True
10,4.3594627,0.20449120380777064,0.0005127871278206973,48,True,True
9,4.4710226,0.5771087163550361,0.00042176390435057427,48,False,True
7,5.4567723,0.7348736681912114,0.0008346467222792668,48,False,True
