# param=dtau0 z=2.6 tol=0.25 log_space=True source=results/single_z_z2.6_value/refit/z2.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
15,0.43497843,0.4013083085443757,0.0001320358786474562,48,False,True
13,0.68535656,0.4387798703207809,0.0001639210054067812,48,False,True
12,0.72360605,0.456858360162508,0.00017359720518337664,48,False,True
11,0.7732502,0.6394084683434736,0.0003284056121637155,48,False,True
10,0.87739646,0.5706868204208868,0.0002645015815497248,48,False,True
9,1.0575686,0.4337231454627195,0.00037309649683511597,48,False,True
8,1.2413312,0.45081710708522615,0.00035432970960713267,48,False,True
7,1.7016381,0.4246634909647987,0.0005364808639436002,48,False,True
6,1.7031686,0.4274747366211763,0.0005421096356634697,48,False,True
5,3.3779955,0.40288545650757235,0.0004943089123409608,48,False,True
4,5.639066,0.080659339278497,0.0005833610563571264,48,True,True
3,5.747651,0.3049247288853256,0.0004708485414408666,48,False,True
