# param=tau0 z=2.6 tol=0.25 log_space=True source=results/single_z_z2.6_value/refit/z2.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.10968766,0.3241779188927061,0.0024700022979341264,48,False,True
19,0.12565291,0.3186453001960269,0.0025294683097292882,48,False,True
17,0.13392654,0.36437473430629097,0.0036078875024778837,48,False,True
16,0.1643362,0.3214915250200788,0.0037099545490085813,48,False,True
15,0.16456026,0.3250027776517189,0.004264109693757554,48,False,True
14,0.18375704,0.2949868996087851,0.004294617678441958,48,False,True
13,0.19478258,0.3072157955174958,0.004165236695930918,48,False,True
12,0.19860847,0.43172085793027826,0.0042086678389427635,48,False,True
10,0.22236755,0.3952098700179839,0.004718763776463463,48,False,True
9,0.33851066,0.29042777223448724,0.004613509258581643,48,False,True
7,0.3936643,0.48376280736962063,0.005093753668109751,48,False,True
6,2.918956,0.49970124045035486,0.019856131572109154,48,False,True
4,3.8167791,0.5811952770945823,0.048389965981063425,48,False,True
3,5.440024,0.7008825787101283,0.01624059632420054,48,False,True
2,5.66611,0.5476563573253534,0.027285926321914348,48,False,True
1,5.8305783,0.6544363363883942,0.033705126355785466,48,False,True
