Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.913742,-0.7317559,0.0,-0.731755900000000,PySRFunction(X=>-0.731755900000000)
3,5.119076,x0 - x2,0.07215242058389726,x0 - x2,PySRFunction(X=>x0 - x2)
4,4.6675224,log(x0 + 0.049652513),0.09234555844973703,log(x0 + 0.049652513),PySRFunction(X=>log(x0 + 0.049652513))
5,3.6538258,(x2 - x0) * -3.1373584,0.24485361252800752,(-x0 + x2)*(-3.1373584),PySRFunction(X=>(-x0 + x2)*(-3.1373584))
7,3.0994215,((x0 - x2) * 3.0631194) - x1,0.08227965093185359,-x1 + (x0 - x2)*3.0631194,PySRFunction(X=>-x1 + (x0 - x2)*3.0631194)
9,2.9476728,(x2 + ((x2 * x1) - x0)) * -2.7658901,0.02509975175418355,(-x0 + x1*x2 + x2)*(-2.7658901),PySRFunction(X=>(-x0 + x1*x2 + x2)*(-2.7658901))
10,2.7369356,((x0 - x2) - x1) * square(x1 - 1.9986165),0.07417707729519701,(x1 - 1*1.9986165)**2*(x0 - x1 - x2),PySRFunction(X=>(x1 - 1*1.9986165)**2*(x0 - x1 - x2))
11,2.2607343,(((x2 - x0) + x1) - square(square(x1))) * -3.1341321,0.19114922835364925,(-x0 - x1**4 + x1 + x2)*(-3.1341321),PySRFunction(X=>(-x0 - x1**4 + x1 + x2)*(-3.1341321))
13,1.9861524,((x0 - x2) - x1) * (3.418082 - (square(square(x1)) * 4.167237)),0.06474518608867533,(3.418082 - 4.167237*x1**4)*(x0 - x1 - x2),PySRFunction(X=>(3.418082 - 4.167237*x1**4)*(x0 - x1 - x2))
14,1.821945,"((x0 - x2) - x1) * aq(3.3322806, square(square(square(x1 * -1.3765556))))",0.08629468806493759,(3.3322806/sqrt(166.226446339474*x1**16 + 1))*(x0 - x1 - x2),PySRFunction(X=>(3.3322806/sqrt(166.226446339474*x1**16 + 1))*(x0 - x1 - x2))
15,1.4943291,"square(square(aq(1.0813814, square(exp(x1)) - 3.2314458) - (x0 - x2))) * -1.1901429",0.19822726819721978,(-(x0 - x2) + 1.0813814/sqrt((exp(2*x1) - 1*3.2314458)**2 + 1))**4*(-1.1901429),PySRFunction(X=>(-(x0 - x2) + 1.0813814/sqrt((exp(2*x1) - 1*3.2314458)**2 + 1))**4*(-1.1901429))
16,1.303685,"square((square(x2) - x0) - aq(-1.2343112, 2.4375663 - square(x1 * 2.6402383))) * -2.7577415",0.13648247367089913,(-x0 + x2**2 - (-1)*1.2343112/sqrt((2.4375663 - 6.97085828078689*x1**2)**2 + 1))**2*(-2.7577415),PySRFunction(X=>(-x0 + x2**2 - (-1)*1.2343112/sqrt((2.4375663 - 6.97085828078689*x1**2)**2 + 1))**2*(-2.7577415))
18,1.0296324,"square((x0 - 0.68485) - square(aq(x2, 1.7028834 - (square(x1) * 4.926137)) * -1.5484474)) * -2.3924842",0.11799651228488774,(x0 - 2.39768935056676*x2**2/((1.7028834 - 4.926137*x1**2)**2 + 1) - 1*0.68485)**2*(-2.3924842),PySRFunction(X=>(x0 - 2.39768935056676*x2**2/((1.7028834 - 4.926137*x1**2)**2 + 1) - 1*0.68485)**2*(-2.3924842))
