Complexity,Loss,Equation,score,sympy_format,lambda_format
1,13.12934,-2.2859137,0.0,-2.28591370000000,PySRFunction(X=>-2.28591370000000)
3,9.193286,x2 * -4.818694,0.17818799273041852,x2*(-4.818694),PySRFunction(X=>x2*(-4.818694))
4,6.716446,log(0.8064306 - x2),0.31391428943846733,log(0.8064306 - x2),PySRFunction(X=>log(0.8064306 - x2))
5,6.165653,(0.4000006 - x2) * 11.43001,0.08556509406069152,(0.4000006 - x2)*11.43001,PySRFunction(X=>(0.4000006 - x2)*11.43001)
7,5.4567723,((0.44374445 - x2) * 11.429791) - x0,0.06106829520792623,-x0 + (0.44374445 - x2)*11.429791,PySRFunction(X=>-x0 + (0.44374445 - x2)*11.429791)
9,4.4710226,((0.399037 - x2) * (x0 + x1)) * 14.257045,0.09962015453683981,(0.399037 - x2)*(x0 + x1)*14.257045,PySRFunction(X=>(0.399037 - x2)*(x0 + x1)*14.257045)
10,4.3594627,((x2 + x1) + x0) * log(square(log(x2))),0.025268336214590393,(x0 + x1 + x2)*log(log(x2)**2),PySRFunction(X=>(x0 + x1 + x2)*log(log(x2)**2))
11,4.099297,"(0.38998163 - x2) * aq((x1 + x0) * 15.689536, x1)",0.061533320227966135,(15.689536*(x0 + x1)/sqrt(x1**2 + 1))*(0.38998163 - x2),PySRFunction(X=>(15.689536*(x0 + x1)/sqrt(x1**2 + 1))*(0.38998163 - x2))
12,3.6888635,"(x0 + x1) * ((0.35908633 - aq(x2, square(x1))) * 15.01346)",0.1054970795616779,(x0 + x1)*(0.35908633 - x2/sqrt(x1**4 + 1))*15.01346,PySRFunction(X=>(x0 + x1)*(0.35908633 - x2/sqrt(x1**4 + 1))*15.01346)
13,3.2400365,"(0.37843528 - aq(x2, square(square(x1)))) * ((x0 + x1) * 15.143794)",0.12973382085953603,(0.37843528 - x2/sqrt(x1**8 + 1))*(x0 + x1)*15.143794,PySRFunction(X=>(0.37843528 - x2/sqrt(x1**8 + 1))*(x0 + x1)*15.143794)
14,3.1458178,"(0.14077905 - square(aq(x2, square(square(x1))))) * ((x0 + x1) * 13.000493)",0.029510707026383965,(0.14077905 - x2**2/(x1**8 + 1))*(x0 + x1)*13.000493,PySRFunction(X=>(0.14077905 - x2**2/(x1**8 + 1))*(x0 + x1)*13.000493)
15,2.91093,"((0.3890126 - aq(x2, square(square(x1)))) * ((x0 + x1) + x1)) * 11.616074",0.07760127039147961,(0.3890126 - x2/sqrt(x1**8 + 1))*(x0 + x1 + x1)*11.616074,PySRFunction(X=>(0.3890126 - x2/sqrt(x1**8 + 1))*(x0 + x1 + x1)*11.616074)
17,2.8009467,"(0.37871838 - aq(x2, square(square(x1)))) * ((((x1 + x1) + x0) * 10.002822) - -1.7713398)",0.019257575288171503,(0.37871838 - x2/sqrt(x1**8 + 1))*((x0 + x1 + x1)*10.002822 - 1*(-1.7713398)),PySRFunction(X=>(0.37871838 - x2/sqrt(x1**8 + 1))*((x0 + x1 + x1)*10.002822 - 1*(-1.7713398)))
19,2.738317,"aq(((0.3725649 - aq(x2, square(square(x1)))) * ((x0 + (x1 + x1)) * 12.723329)) - -0.15056905, x1)",0.011306984537032442,((0.3725649 - x2/sqrt(x1**8 + 1))*(x0 + x1 + x1)*12.723329 - 1*(-0.15056905))/sqrt(x1**2 + 1),PySRFunction(X=>((0.3725649 - x2/sqrt(x1**8 + 1))*(x0 + x1 + x1)*12.723329 - 1*(-0.15056905))/sqrt(x1**2 + 1))
