Complexity,Loss,Equation,score,sympy_format,lambda_format
1,6.7256002,-0.8989464,0.0,-0.898946400000000,PySRFunction(X=>-0.898946400000000)
3,5.747651,x0 * -2.2956293,0.07856496048684174,x0*(-2.2956293),PySRFunction(X=>x0*(-2.2956293))
4,5.639066,square(x0) * -2.9448476,0.019072800642965824,x0**2*(-2.9448476),PySRFunction(X=>x0**2*(-2.9448476))
5,3.3779955,x2 * (x0 * -6.0075264),0.5124359627239039,x2*x0*(-6.0075264),PySRFunction(X=>x2*x0*(-6.0075264))
6,1.7031686,(square(x2) * -7.6514106) * x0,0.6847920876937228,x2**2*(-7.6514106)*x0,PySRFunction(X=>x2**2*(-7.6514106)*x0)
7,1.7016381,(x2 + -0.2729845) * (x0 * -9.272055),0.0008990231974605462,(x2 - 0.2729845)*x0*(-9.272055),PySRFunction(X=>(x2 - 0.2729845)*x0*(-9.272055))
8,1.2413312,((x0 * -7.769096) * square(x2)) + x1,0.3154070231812723,x0*(-7.769096)*x2**2 + x1,PySRFunction(X=>x0*(-7.769096)*x2**2 + x1)
9,1.0575686,((square(x2) * x0) * -7.681611) + square(x1),0.16021185235237523,x2**2*x0*(-7.681611) + x1**2,PySRFunction(X=>x2**2*x0*(-7.681611) + x1**2)
10,0.87739646,"(x0 * (aq(-8.449706, x1) * square(x2))) + 0.7060968",0.18676882471667502,x0*x2**2*(-8.449706/sqrt(x1**2 + 1)) + 0.7060968,PySRFunction(X=>x0*x2**2*(-8.449706/sqrt(x1**2 + 1)) + 0.7060968)
11,0.7732502,((square(x2) * -8.694655) * x0) + (x2 + square(x1)),0.12635628386244455,x2**2*(-8.694655)*x0 + x1**2 + x2,PySRFunction(X=>x2**2*(-8.694655)*x0 + x1**2 + x2)
12,0.72360605,"((-0.20081104 - x0) * square(exp(aq(x2, square(x1))))) - -1.5348357",0.06635555575460625,(-x0 - 0.20081104)*exp(2*x2/sqrt(x1**4 + 1)) - 1*(-1.5348357),PySRFunction(X=>(-x0 - 0.20081104)*exp(2*x2/sqrt(x1**4 + 1)) - 1*(-1.5348357))
13,0.68535656,"1.5804168 - ((x0 - -0.22473137) * square(exp(aq(x2, -0.17511466 + x1))))",0.05430788607585954,1.5804168 - (x0 - 1*(-0.22473137))*exp(2*x2/sqrt((x1 - 0.17511466)**2 + 1)),PySRFunction(X=>1.5804168 - (x0 - 1*(-0.22473137))*exp(2*x2/sqrt((x1 - 0.17511466)**2 + 1)))
15,0.43497843,"(x2 + 1.3982608) - ((x0 - -0.3597209) * square(aq(exp(x2), -0.2585786 + x1)))",0.22732139236544496,x2 - exp(2*x2)/((x1 - 0.2585786)**2 + 1)*(x0 - 1*(-0.3597209)) + 1.3982608,PySRFunction(X=>x2 - exp(2*x2)/((x1 - 0.2585786)**2 + 1)*(x0 - 1*(-0.3597209)) + 1.3982608)
