Complexity,Loss,Equation,score,sympy_format,lambda_format
1,22.322014,-3.8075387,0.0,-3.80753870000000,PySRFunction(X=>-3.80753870000000)
3,13.15253,x2 * -7.7365336,0.2644796154309316,x2*(-7.7365336),PySRFunction(X=>x2*(-7.7365336))
4,8.234291,square(x2) * -11.659044,0.46830687156426876,x2**2*(-11.659044),PySRFunction(X=>x2**2*(-11.659044))
5,5.928564,(x2 * -19.035873) - -7.614286,0.3285252388226326,x2*(-19.035873) - 1*(-7.614286),PySRFunction(X=>x2*(-19.035873) - 1*(-7.614286))
7,3.3404584,"(aq(x2, x0) * -21.415573) - -7.510517",0.2868369910441091,(x2/sqrt(x0**2 + 1))*(-21.415573) - 1*(-7.510517),PySRFunction(X=>(x2/sqrt(x0**2 + 1))*(-21.415573) - 1*(-7.510517))
9,3.079938,"aq(x2 * -21.22884, x0 - x1) - -7.863322",0.04059928808377163,-21.22884*x2/sqrt((x0 - x1)**2 + 1) - 1*(-7.863322),PySRFunction(X=>-21.22884*x2/sqrt((x0 - x1)**2 + 1) - 1*(-7.863322))
10,2.9740486,"aq(x2 * -21.391321, x0 - square(x1)) - -7.745562",0.034985277380866334,-21.391321*x2/sqrt((x0 - x1**2)**2 + 1) - 1*(-7.745562),PySRFunction(X=>-21.391321*x2/sqrt((x0 - x1**2)**2 + 1) - 1*(-7.745562))
11,2.4702423,"(x0 + (x2 * aq(-20.969868, x1 - x0))) - -7.2209363",0.185607946537213,x0 + x2*(-20.969868/sqrt((-x0 + x1)**2 + 1)) - 1*(-7.2209363),PySRFunction(X=>x0 + x2*(-20.969868/sqrt((-x0 + x1)**2 + 1)) - 1*(-7.2209363))
13,2.2383003,"(x0 + (x2 * aq(-21.041595, x1 - aq(x0, x1)))) - -7.249767",0.04929972990047101,x0 + x2*(-21.041595/sqrt((-x0/sqrt(x1**2 + 1) + x1)**2 + 1)) - 1*(-7.249767),PySRFunction(X=>x0 + x2*(-21.041595/sqrt((-x0/sqrt(x1**2 + 1) + x1)**2 + 1)) - 1*(-7.249767))
15,2.0896628,"(aq(x0 + (x2 * -20.803637), x1 - aq(x0, x1)) - -6.6190705) + x0",0.03435703497328687,x0 + (x0 + x2*(-20.803637))/sqrt((-x0/sqrt(x1**2 + 1) + x1)**2 + 1) - 1*(-6.6190705),PySRFunction(X=>x0 + (x0 + x2*(-20.803637))/sqrt((-x0/sqrt(x1**2 + 1) + x1)**2 + 1) - 1*(-6.6190705))
17,1.7914276,((log(0.8628863 - x2) + square((x1 * (x2 + x1)) - 0.69361603)) + x0) * 3.813257,0.07699493468129401,3.813257*x0 + 3.813257*(x1*(x1 + x2) - 0.69361603)**2 + 3.813257*log(0.8628863 - x2),PySRFunction(X=>3.813257*x0 + 3.813257*(x1*(x1 + x2) - 0.69361603)**2 + 3.813257*log(0.8628863 - x2))
18,1.615981,((x0 + log(0.86259496 - x2)) + square((x1 - 0.6669122) + (x2 * square(x1)))) * 3.87706,0.1030706412805196,3.87706*x0 + 3.87706*(x1**2*x2 + x1 - 0.6669122)**2 + 3.87706*log(0.86259496 - x2),PySRFunction(X=>3.87706*x0 + 3.87706*(x1**2*x2 + x1 - 0.6669122)**2 + 3.87706*log(0.86259496 - x2))
19,1.6159797,((x0 + square((x1 - 0.66674757) + (x2 * (x1 * x1)))) + log(0.8626099 - x2)) * 3.8773615,8.044652274961238e-07,3.8773615*x0 + 3.8773615*(x1**2*x2 + x1 - 0.66674757)**2 + 3.8773615*log(0.8626099 - x2),PySRFunction(X=>3.8773615*x0 + 3.8773615*(x1**2*x2 + x1 - 0.66674757)**2 + 3.8773615*log(0.8626099 - x2))
