# param=Ap z=4.2 tol=0.25 log_space=True source=results/single_z_z4.2_sobolev/refit/z4.2/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,32.07778,0.13669375795081556,0.0007766113707178173,48,True,True
19,33.79332,0.2179838219057596,0.00013898573338298815,48,True,True
18,34.68721,0.3009972130295106,0.0017265646855281424,48,False,True
16,39.179142,0.3075347513769495,0.0016537179139525843,48,False,True
15,43.64869,0.3066741187125067,0.0017329809517578705,48,False,True
14,50.711395,0.19661402081803298,0.0012710329330647093,48,True,True
12,55.405853,0.053679521872035396,0.0031390754984899328,48,True,True
11,59.14886,0.03392408836024724,0.0020567048723538804,48,True,True
10,63.275135,0.37872782364226276,0.0009112749759472909,48,False,True
9,72.93423,0.2632329983143853,0.0011032285498436243,48,False,True
8,79.65916,0.035661382291583665,0.00018058683432354604,48,True,True
7,85.969986,0.6682030750430555,0.0018416577613471778,48,False,True
6,90.29977,0.23062882883754704,0.0005405996163301304,48,True,True
5,94.470856,0.17199247742308316,0.0002831970509621275,48,True,True
4,107.62331,0.22130975735845515,0.0005313946092371309,48,True,True
3,108.42883,0.10231746652647355,0.01010774123217617,48,True,True
2,139.63005,0.6937836117319716,0.009858661156470149,48,False,True
1,144.8338,0.756690693681232,0.0033864101060665664,48,False,True
