# param=bhfeedback z=4.2 tol=0.25 log_space=True source=results/single_z_z4.2_sobolev/refit/z4.2/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,32.685818,0.3736684489804865,1.94409403529922e-05,48,False,True
17,35.958916,0.3990973771208032,1.5057397308462023e-05,48,False,True
16,38.376736,0.39872113469814086,1.9207091970617602e-05,48,False,True
15,41.104916,0.5167025012943851,1.5582310108411227e-05,48,False,True
13,41.593933,0.5147173533388782,2.5617400053593838e-05,48,False,True
11,43.551117,0.5241512845992121,2.5342553741058038e-05,48,False,True
9,49.827187,0.4831241128222719,5.676122340169914e-05,48,False,True
7,67.895706,0.48267471608204227,0.00034595536716407904,48,False,True
6,79.30769,0.3023984735358133,0.0007235342140469684,48,False,True
5,98.66026,0.27160205920965236,0.0007792713599161142,48,False,True
3,132.00885,0.3293672979369771,0.000914342371808971,48,False,True
