# param=hub z=4.2 tol=0.25 log_space=True source=results/single_z_z4.2_sobolev/refit/z4.2/pareto_hub.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,315.3468,1.2146678043169858,0.00038181253982410613,48,False,True
19,316.0442,1.2568956032228267,0.0004834066447279393,48,False,True
17,316.37302,1.2571632015139045,0.0004724361365693623,48,False,True
15,322.10565,0.8581785636353294,0.0003949813848905359,48,False,True
13,324.16312,0.8226992026272006,0.0004776662466950113,48,False,True
12,338.1551,0.929584027697709,0.0004114247259841389,48,False,True
11,344.4867,0.9776251713763199,0.00025493410522414175,48,False,True
10,347.6781,0.9591717798306891,0.00026044719723938674,48,False,True
8,356.66098,1.0105679017456437,0.0003674604915474869,48,False,True
7,365.99402,1.010888200223175,0.0003340125786823557,48,False,True
6,373.31497,1.0133364385191477,0.000332863171998078,48,False,True
5,383.27808,0.8270661170901381,0.00024060717041916212,48,False,True
4,400.4863,1.1427148433139636,0.0003459418548453742,48,False,True
