# param=ns z=4.2 tol=0.25 log_space=True source=results/single_z_z4.2_sobolev/refit/z4.2/pareto_ns.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,10.654625,0.21051772223601273,0.0014861724004987902,48,True,True
18,12.331406,0.46518014531653384,0.0016159431135145212,48,False,True
17,16.157759,0.2700199516162558,0.000935452277881943,48,False,True
16,16.803885,0.36240341734080184,0.0015086201480480697,48,False,True
15,17.017038,0.19872533551843496,0.00038426686838015996,48,True,True
14,17.283798,0.22091067848777546,0.0010858741756933972,48,True,True
13,18.523455,0.47461461295879237,0.00040897666184644323,48,False,True
11,20.239643,0.5147922854372811,0.005202824874679888,48,False,True
10,25.351255,0.6220152886949669,0.004276190342134782,48,False,True
9,31.908403,0.8753720373933049,0.003726219349970756,48,False,True
8,37.071888,0.7670505750876612,0.0044806066227050115,48,False,True
7,42.9701,0.7025849042129927,0.0066203503684842055,48,False,True
6,46.680603,0.9324311395176312,0.0023526595408589488,48,False,True
5,48.81839,0.7027633544823929,0.006458661855791885,48,False,True
4,53.906273,0.8492656351912891,0.0050921334458742884,48,False,True
3,57.174217,0.9278541199180902,0.0024768866504298165,48,False,True
2,59.492104,0.4047415869125768,0.003071192668391536,48,False,True
