Complexity,Loss,Equation,score,sympy_format,lambda_format
1,50.4569,-2.0313365,0.0,-2.03133650000000,PySRFunction(X=>-2.03133650000000)
3,38.515022,x0 * -1.7347955,0.13503557975754296,x0*(-1.7347955),PySRFunction(X=>x0*(-1.7347955))
4,33.6763,exp(x0 * -4.739684),0.13425402115362417,exp(x0*(-4.739684)),PySRFunction(X=>exp(x0*(-4.739684)))
5,30.093416,(x0 - 2.71894) * x0,0.11248791557040877,x0*(x0 - 1*2.71894),PySRFunction(X=>x0*(x0 - 1*2.71894))
6,22.997,log(x0 + x2) * -2.2157972,0.2689426376475717,-2.2157972*log(x0 + x2),PySRFunction(X=>-2.2157972*log(x0 + x2))
7,12.483446,"aq(-4.483592, log(x0 + square(x2)))",0.6109603260176383,-4.483592/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>-4.483592/sqrt(log(x0 + x2**2)**2 + 1))
8,10.078176,"aq(-3.6883218, log((x2 + x0) - 0.37232962))",0.21403115273313397,-3.6883218/sqrt(log(x0 + x2 - 0.37232962)**2 + 1),PySRFunction(X=>-3.6883218/sqrt(log(x0 + x2 - 0.37232962)**2 + 1))
9,5.6020117,"aq(-5.959742, log(square(x2) + x0)) + 3.3832119",0.5872465285128697,3.3832119 - 5.959742/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>3.3832119 - 5.959742/sqrt(log(x0 + x2**2)**2 + 1))
11,4.42517,"3.382709 + aq(-5.9456234, aq(log(square(x2) + x0), x2))",0.1179085347872549,3.382709 - 5.9456234/sqrt(1 + log(x0 + x2**2)**2/(x2**2 + 1)),PySRFunction(X=>3.382709 - 5.9456234/sqrt(1 + log(x0 + x2**2)**2/(x2**2 + 1)))
12,4.3935633,"aq(-5.9456234, aq(log(square(x2) + x0), square(x2))) + 3.382709",0.007168112303400298,3.382709 - 5.9456234/sqrt(1 + log(x0 + x2**2)**2/(x2**4 + 1)),PySRFunction(X=>3.382709 - 5.9456234/sqrt(1 + log(x0 + x2**2)**2/(x2**4 + 1)))
13,3.967008,square(square(x0)) - log(square(square(square(x2 + x2) + x0))),0.10212842533021607,x0**4 - log((x0 + 4*x2**2)**4),PySRFunction(X=>x0**4 - log((x0 + 4*x2**2)**4))
14,2.4586518,square(x0) - log(square(square(x0 + square(x2 + x2)) - 0.1231719)),0.4783990072372589,x0**2 - log(((x0 + 4*x2**2)**2 - 0.1231719)**2),PySRFunction(X=>x0**2 - log(((x0 + 4*x2**2)**2 - 0.1231719)**2))
16,1.7835865,"x0 - log(square(square(square(x2 + x2) + aq(x0 - 0.21357486, square(x0)))))",0.16049346307463444,x0 - log((4*x2**2 + (x0 - 0.21357486)/sqrt(x0**4 + 1))**4),PySRFunction(X=>x0 - log((4*x2**2 + (x0 - 0.21357486)/sqrt(x0**4 + 1))**4))
18,1.0807709,"(x0 + -0.83790004) - log(square(square(square(x2 + x2) + aq(x0 - 0.22564071, square(x0)))))",0.250475820989939,x0 - log((4*x2**2 + (x0 - 0.22564071)/sqrt(x0**4 + 1))**4) - 0.83790004,PySRFunction(X=>x0 - log((4*x2**2 + (x0 - 0.22564071)/sqrt(x0**4 + 1))**4) - 0.83790004)
20,0.96606815,"((x2 + x0) + -1.4641415) - log(square(square(aq(x0 - 0.22767822, square(x0)) + square(x2 + x2))))",0.05609774070241259,x0 + x2 - log((4*x2**2 + (x0 - 0.22767822)/sqrt(x0**4 + 1))**4) - 1.4641415,PySRFunction(X=>x0 + x2 - log((4*x2**2 + (x0 - 0.22767822)/sqrt(x0**4 + 1))**4) - 1.4641415)
