Complexity,Loss,Equation,score,sympy_format,lambda_format
1,76.231895,-1.7677734,0.0,-1.76777340000000,PySRFunction(X=>-1.76777340000000)
3,27.830177,x0 * -3.1096177,0.503829504554957,x0*(-3.1096177),PySRFunction(X=>x0*(-3.1096177))
5,15.453777,"aq(x0 * -4.6554856, x0)",0.2941337480372348,-4.6554856*x0/sqrt(x0**2 + 1),PySRFunction(X=>-4.6554856*x0/sqrt(x0**2 + 1))
6,12.033558,"x0 * aq(-8.813535, exp(x0))",0.25015419262967653,x0*(-8.813535/sqrt(exp(2*x0) + 1)),PySRFunction(X=>x0*(-8.813535/sqrt(exp(2*x0) + 1)))
8,10.624294,(log(x2 + x0) + x2) * -3.1465302,0.062277990656296904,-3.1465302*x2 - 3.1465302*log(x0 + x2),PySRFunction(X=>-3.1465302*x2 - 3.1465302*log(x0 + x2))
9,10.621191,-3.1428764 * (log(x0 + x2) + square(x2)),0.00029210912549801647,-3.1428764*x2**2 - 3.1428764*log(x0 + x2),PySRFunction(X=>-3.1428764*x2**2 - 3.1428764*log(x0 + x2))
10,8.096685,"(x2 + log(x2 + aq(x0, x0))) * -3.9816763",0.2713964377687486,-3.9816763*x2 - 3.9816763*log(x0/sqrt(x0**2 + 1) + x2),PySRFunction(X=>-3.9816763*x2 - 3.9816763*log(x0/sqrt(x0**2 + 1) + x2))
12,7.5154524,"(log(aq(x2 + x0, x0 + -0.52313083)) + x2) * -2.9531274",0.03724674882794697,-2.9531274*x2 - 2.9531274*log((x0 + x2)/sqrt((x0 - 0.52313083)**2 + 1)),PySRFunction(X=>-2.9531274*x2 - 2.9531274*log((x0 + x2)/sqrt((x0 - 0.52313083)**2 + 1)))
14,7.0413256,"(log(x0 + x2) + x1) * ((aq(-2.5541472, x0) - x2) - x2)",0.03258238654734027,(x1 + log(x0 + x2))*(-2*x2 - 2.5541472/sqrt(x0**2 + 1)),PySRFunction(X=>(x1 + log(x0 + x2))*(-2*x2 - 2.5541472/sqrt(x0**2 + 1)))
15,6.5082803,(x1 + log(x2 + x0)) * ((-2.5247865 - (x2 - square(x0))) - x2),0.07872118940222078,(x1 + log(x0 + x2))*(x0**2 - 2*x2 - 2.5247865),PySRFunction(X=>(x1 + log(x0 + x2))*(x0**2 - 2*x2 - 2.5247865))
16,6.0579515,"(log(x2 + x0) + (x1 - -0.2532807)) * ((aq(-2.6233287, x0) - x2) - x2)",0.07170355186646923,(-2*x2 - 2.6233287/sqrt(x0**2 + 1))*(x1 + log(x0 + x2) + 0.2532807),PySRFunction(X=>(-2*x2 - 2.6233287/sqrt(x0**2 + 1))*(x1 + log(x0 + x2) + 0.2532807))
17,5.563173,((x1 + log(x0 + x2)) * ((-2.5247865 - (x2 - square(x0))) - x2)) - x2,0.08520307769258913,-x2 + (x1 + log(x0 + x2))*(x0**2 - 2*x2 - 2.5247865),PySRFunction(X=>-x2 + (x1 + log(x0 + x2))*(x0**2 - 2*x2 - 2.5247865))
18,5.2999363,((x1 + log(x2 + x0)) * (-2.5247865 - ((exp(x2) * x2) - square(x0)))) - x2,0.04847382731992897,-x2 + (x1 + log(x0 + x2))*(x0**2 - x2*exp(x2) - 2.5247865),PySRFunction(X=>-x2 + (x1 + log(x0 + x2))*(x0**2 - x2*exp(x2) - 2.5247865))
19,5.144986,((-1.8577757 - (((x2 + x2) * 1.6855361) - square(x0))) * (x1 + log(x2 + x0))) - x2,0.029672153424048966,-x2 + (x1 + log(x0 + x2))*(x0**2 - 3.3710722*x2 - 1.8577757),PySRFunction(X=>-x2 + (x1 + log(x0 + x2))*(x0**2 - 3.3710722*x2 - 1.8577757))
20,4.5507073,"(square(square(aq(x0, x2)) + x1) - ((x2 + (log(x0 + x2) + x1)) * 3.7667816)) - -1.1932468",0.12273997676275054,-3.7667816*x1 - 3.7667816*x2 + (x0**2/(x2**2 + 1) + x1)**2 - 3.7667816*log(x0 + x2) + 1.1932468,PySRFunction(X=>-3.7667816*x1 - 3.7667816*x2 + (x0**2/(x2**2 + 1) + x1)**2 - 3.7667816*log(x0 + x2) + 1.1932468)
