Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.09507,x0,0.0,x0,PySRFunction(X=>x0)
2,22.120037,exp(x0),0.34056543637197173,exp(x0),PySRFunction(X=>exp(x0))
3,3.9367547,x0 * 3.2548661,1.726127145651261,x0*3.2548661,PySRFunction(X=>x0*3.2548661)
5,0.8467759,(x0 * 3.424169) - 1.8009684,0.7683379519536584,x0*3.424169 - 1*1.8009684,PySRFunction(X=>x0*3.424169 - 1*1.8009684)
7,0.18432769,"aq(-10.352714, x0 + 0.5881516) + 6.983813",0.7623604906066581,6.983813 - 10.352714/sqrt((x0 + 0.5881516)**2 + 1),PySRFunction(X=>6.983813 - 10.352714/sqrt((x0 + 0.5881516)**2 + 1))
8,0.02407376,(log(x0 - -1.9803139) * 8.366698) + -7.626914,2.035592646910966,8.366698*log(x0 + 1.9803139) - 7.626914,PySRFunction(X=>8.366698*log(x0 + 1.9803139) - 7.626914)
10,0.022359096,(log(x0 - -1.314901) * 4.2823563) + (x0 + -3.0825725),0.03694461625744944,x0 + 4.2823563*log(x0 + 1.314901) - 3.0825725,PySRFunction(X=>x0 + 4.2823563*log(x0 + 1.314901) - 3.0825725)
12,0.022357838,(x0 + 0.04982144) + ((log(x0 - -1.3174134) * 4.2880597) + -3.141376),2.813251911074133e-05,x0 + 4.2880597*log(x0 + 1.3174134) - 3.09155456,PySRFunction(X=>x0 + 4.2880597*log(x0 + 1.3174134) - 3.09155456)
14,0.014621348,"(aq(-3.1535242, x2 + -0.74813193) + x0) + (log(x0 - -1.3109843) * 4.272361)",0.21234715027982923,x0 + 4.272361*log(x0 + 1.3109843) - 3.1535242/sqrt((x2 - 0.74813193)**2 + 1),PySRFunction(X=>x0 + 4.272361*log(x0 + 1.3109843) - 3.1535242/sqrt((x2 - 0.74813193)**2 + 1))
15,0.014590409,((square(x2 - 0.81270355) + x0) + -3.1535175) + (log(x0 - -1.3111058) * 4.2723284),0.002118257492600967,x0 + (x2 - 0.81270355)**2 + 4.2723284*log(x0 + 1.3111058) - 3.1535175,PySRFunction(X=>x0 + (x2 - 0.81270355)**2 + 4.2723284*log(x0 + 1.3111058) - 3.1535175)
19,0.014563537,"((x0 + (log(x0 - -1.3109843) * 4.272361)) + -3.1535242) + square(aq(0.816032, x0 * -0.08786562) - x2)",0.00046086398750264584,x0 + (-x2 + 0.816032/sqrt(0.0077203671779844*x0**2 + 1))**2 + 4.272361*log(x0 + 1.3109843) - 3.1535242,PySRFunction(X=>x0 + (-x2 + 0.816032/sqrt(0.0077203671779844*x0**2 + 1))**2 + 4.272361*log(x0 + 1.3109843) - 3.1535242)
20,0.014308034,(x0 + -3.147116) + (log(square(0.6603381 - x2) + (x0 - -1.2872146)) * (square(0.7229744 - x2) + 4.2689342)),0.017699741404084538,x0 + ((0.7229744 - x2)**2 + 4.2689342)*log(x0 + (0.6603381 - x2)**2 + 1.2872146) - 3.147116,PySRFunction(X=>x0 + ((0.7229744 - x2)**2 + 4.2689342)*log(x0 + (0.6603381 - x2)**2 + 1.2872146) - 3.147116)
