# param=heref z=4.2 tol=0.25 log_space=True source=results/single_z_z4.2_value/refit/z4.2/pareto_heref.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.56313413,23.794552675800578,4.750298276087209e-05,47,False,True
19,0.5707057,23.44052015482349,4.0483435911056734e-05,47,False,True
17,0.5712233,23.356077663079944,4.0416623495818906e-05,47,False,True
15,0.58778036,25.87972621426376,4.3586662236775345e-05,47,False,True
14,0.7513624,16.748001920076188,5.9601743313409556e-05,47,False,True
12,0.7609133,16.25473195728167,5.995565903987796e-05,47,False,True
11,0.8769115,32.57527769806488,6.301402221031446e-05,47,False,True
10,1.4149649,15.094673586130385,7.970866583769633e-05,47,False,True
9,1.4468911,27.531867123932223,7.319525833216524e-05,47,False,True
7,2.1690674,22.904271289959773,5.515509063024409e-05,47,False,True
