# param=hireionz z=4.2 tol=0.25 log_space=True source=results/single_z_z4.2_value/refit/z4.2/pareto_hireionz.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,1.5609815,0.28557637038700967,0.0004637330622763185,48,False,True
19,1.6023433,0.183937296633092,0.0005487598954665273,48,True,True
17,1.6318204,0.14946206873816692,0.0005453362604374089,48,True,True
15,1.6472273,0.12338814949421423,0.0005853149431254984,48,True,True
13,2.081621,0.36875748990607293,0.0005340321316062822,48,False,True
11,2.3375964,0.32727076828686663,0.000560291344344935,48,False,True
10,2.7689333,0.13818221995339436,0.0010755375962587703,48,True,True
9,3.0449572,0.847900851018831,0.0006973771087973374,48,False,True
8,4.675103,0.09206784871783141,0.0013955011365898997,48,True,True
7,5.368848,0.6871375019465764,0.0015675008256061799,48,False,True
