Complexity,Loss,Equation,score,sympy_format,lambda_format
1,32.46803,-5.074912,0.0,-5.07491200000000,PySRFunction(X=>-5.07491200000000)
3,16.82163,x2 * -10.194572,0.32879517729669205,x2*(-10.194572),PySRFunction(X=>x2*(-10.194572))
4,8.965057,square(x2) * -15.307651,0.6293310931958102,x2**2*(-15.307651),PySRFunction(X=>x2**2*(-15.307651))
5,4.9034047,10.150192 - (x2 * 25.375494),0.6034046645320078,10.150192 - 25.375494*x2,PySRFunction(X=>10.150192 - 25.375494*x2)
7,2.93813,"aq(11.24172, x0) + (x2 * -25.085238)",0.25607823800180146,x2*(-25.085238) + 11.24172/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-25.085238) + 11.24172/sqrt(x0**2 + 1))
9,2.2878907,(x2 * -25.375494) - ((x0 * 3.1871371) + -11.74377),0.12507151158146537,x2*(-25.375494) - (x0*3.1871371 - 11.74377),PySRFunction(X=>x2*(-25.375494) - (x0*3.1871371 - 11.74377))
10,2.217734,"(aq(8.722453, exp(x0)) + (x2 * -25.375336)) + 5.6020465",0.031144347524146465,x2*(-25.375336) + 5.6020465 + 8.722453/sqrt(exp(2*x0) + 1),PySRFunction(X=>x2*(-25.375336) + 5.6020465 + 8.722453/sqrt(exp(2*x0) + 1))
11,1.841693,"(x2 * -25.375471) - (aq(x0 * 4.6504555, x0) + -12.070751)",0.1858006965972984,x2*(-25.375471) - (4.6504555*x0/sqrt(x0**2 + 1) - 12.070751),PySRFunction(X=>x2*(-25.375471) - (4.6504555*x0/sqrt(x0**2 + 1) - 12.070751))
12,1.4207783,"(x2 * (aq(8.284947, square(square(exp(x0)))) + -27.188057)) + 10.150364",0.2594804372224679,x2*(-27.188057 + 8.284947/sqrt(exp(8*x0) + 1)) + 10.150364,PySRFunction(X=>x2*(-27.188057 + 8.284947/sqrt(exp(8*x0) + 1)) + 10.150364)
14,1.2937162,"((x2 * -25.375444) + 9.098593) + aq(4.373756, x1 - square(square(exp(x0))))",0.04684298398357521,x2*(-25.375444) + 9.098593 + 4.373756/sqrt((x1 - exp(4*x0))**2 + 1),PySRFunction(X=>x2*(-25.375444) + 9.098593 + 4.373756/sqrt((x1 - exp(4*x0))**2 + 1))
16,1.2848384,"((aq(7.060111, (x1 * 1.2303241) - square(square(exp(x0)))) + -27.129284) * x2) + 10.16996",0.0034429502011869033,x2*(-27.129284 + 7.060111/sqrt((x1*1.2303241 - exp(4*x0))**2 + 1)) + 10.16996,PySRFunction(X=>x2*(-27.129284 + 7.060111/sqrt((x1*1.2303241 - exp(4*x0))**2 + 1)) + 10.16996)
18,1.284662,"(x2 * (aq(7.0669093, ((x1 * 0.22668593) + x1) - square(square(exp(x0)))) + -27.112455)) + 10.150679",6.865147803718249e-05,x2*(-27.112455 + 7.0669093/sqrt((x1*0.22668593 + x1 - exp(4*x0))**2 + 1)) + 10.150679,PySRFunction(X=>x2*(-27.112455 + 7.0669093/sqrt((x1*0.22668593 + x1 - exp(4*x0))**2 + 1)) + 10.150679)
