Complexity,Loss,Equation,score,sympy_format,lambda_format
1,9.479145,-2.031095,0.0,-2.03109500000000,PySRFunction(X=>-2.03109500000000)
3,6.5526333,x2 * -4.2962112,0.18461356146863592,x2*(-4.2962112),PySRFunction(X=>x2*(-4.2962112))
4,3.920235,log(0.80991656 - x2),0.5137153984037951,log(0.80991656 - x2),PySRFunction(X=>log(0.80991656 - x2))
5,3.2751856,(0.39998683 - x2) * 10.156418,0.17977706174793764,(0.39998683 - x2)*10.156418,PySRFunction(X=>(0.39998683 - x2)*10.156418)
6,3.275185,(square(x2) * -8.464068) + 1.354417,1.8319574159251845e-07,1.354417 + x2**2*(-8.464068),PySRFunction(X=>1.354417 + x2**2*(-8.464068))
7,2.1690674,"aq(4.627044, x0) + (x2 * -10.168345)",0.4120770504517174,x2*(-10.168345) + 4.627044/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-10.168345) + 4.627044/sqrt(x0**2 + 1))
9,1.4468911,"aq(x2 * -11.029878, x0 + -0.82769644) + 4.087858",0.20244005996467004,-11.029878*x2/sqrt((x0 - 0.82769644)**2 + 1) + 4.087858,PySRFunction(X=>-11.029878*x2/sqrt((x0 - 0.82769644)**2 + 1) + 4.087858)
10,1.4149649,"(aq(x2, square(0.9706792 - x0)) * -10.863771) + 4.055889",0.022312460526532678,4.055889 + (x2/sqrt((0.9706792 - x0)**4 + 1))*(-10.863771),PySRFunction(X=>4.055889 + (x2/sqrt((0.9706792 - x0)**4 + 1))*(-10.863771))
11,0.8769115,"(aq(x2, x1 + (x0 + -1.1108816)) * -11.36153) + 4.0794687",0.4784539290364423,4.0794687 + (x2/sqrt((x0 + x1 - 1.1108816)**2 + 1))*(-11.36153),PySRFunction(X=>4.0794687 + (x2/sqrt((x0 + x1 - 1.1108816)**2 + 1))*(-11.36153))
12,0.7609133,"4.062151 + (-10.9349375 * aq(x2, square((1.1505756 - x0) - x1)))",0.14188665274897627,4.062151 - 10.9349375*x2/sqrt((-x0 - x1 + 1.1505756)**4 + 1),PySRFunction(X=>4.062151 - 10.9349375*x2/sqrt((-x0 - x1 + 1.1505756)**4 + 1))
14,0.7513624,"4.0585036 + (-10.929344 * aq(x2, square(aq(x1, x1) - (1.1506827 - x0))))",0.006315665184093316,4.0585036 - 10.929344*x2/sqrt((x1/sqrt(x1**2 + 1) - (1.1506827 - x0))**4 + 1),PySRFunction(X=>4.0585036 - 10.929344*x2/sqrt((x1/sqrt(x1**2 + 1) - (1.1506827 - x0))**4 + 1))
15,0.58778036,"aq(x2 * -11.175309, (x0 - 0.6321611) + aq(-0.55029684, x1 * 26.109064)) + 4.0728374",0.24553475126117452,-11.175309*x2/sqrt((x0 - 1*0.6321611 - 0.55029684/sqrt(681.683222956096*x1**2 + 1))**2 + 1) + 4.0728374,PySRFunction(X=>-11.175309*x2/sqrt((x0 - 1*0.6321611 - 0.55029684/sqrt(681.683222956096*x1**2 + 1))**2 + 1) + 4.0728374)
17,0.5712233,"(aq(-10.958681, aq(-0.56764597, x2 * (x1 * 36.88238)) + (x0 - 0.6216002)) * x2) + 3.940616",0.014286569595612239,x2*(-10.958681/sqrt((x0 - 1*0.6216002 - 0.56764597/sqrt(1360.3099544644*x1**2*x2**2 + 1))**2 + 1)) + 3.940616,PySRFunction(X=>x2*(-10.958681/sqrt((x0 - 1*0.6216002 - 0.56764597/sqrt(1360.3099544644*x1**2*x2**2 + 1))**2 + 1)) + 3.940616)
19,0.5707057,"aq(x2 * -10.959227, 0.6215856 - (aq(-0.5676739, x1 * ((x2 * 36.8796) - x1)) + x0)) + 3.9409626",0.00045326814140574063,-10.959227*x2/sqrt((0.6215856 - (x0 - 0.5676739/sqrt(x1**2*(-x1 + x2*36.8796)**2 + 1)))**2 + 1) + 3.9409626,PySRFunction(X=>-10.959227*x2/sqrt((0.6215856 - (x0 - 0.5676739/sqrt(x1**2*(-x1 + x2*36.8796)**2 + 1)))**2 + 1) + 3.9409626)
20,0.56313413,"(x2 * aq(-11.175309, aq(-0.55029684, exp(x2 + x0) * (x1 * 9.469947)) + (x0 - 0.6321611))) + 4.0728374",0.013355823899415696,x2*(-11.175309/sqrt((x0 - 1*0.6321611 - 0.55029684/sqrt(89.679896182809*x1**2*exp(2*x0 + 2*x2) + 1))**2 + 1)) + 4.0728374,PySRFunction(X=>x2*(-11.175309/sqrt((x0 - 1*0.6321611 - 0.55029684/sqrt(89.679896182809*x1**2*exp(2*x0 + 2*x2) + 1))**2 + 1)) + 4.0728374)
