Complexity,Loss,Equation,score,sympy_format,lambda_format
1,6.461782,-1.13971,0.0,-1.13971000000000,PySRFunction(X=>-1.13971000000000)
3,5.283663,x2 * -2.5550828,0.10064276198141009,x2*(-2.5550828),PySRFunction(X=>x2*(-2.5550828))
4,4.484249,square(x2) * -3.8246367,0.16404857274064924,x2**2*(-3.8246367),PySRFunction(X=>x2**2*(-3.8246367))
5,4.113069,x0 - (x2 * 3.6709456),0.08640156926080245,x0 - 3.6709456*x2,PySRFunction(X=>x0 - 3.6709456*x2)
6,1.9271436,(x2 * -5.324669) + exp(x0),0.7581305585484314,x2*(-5.324669) + exp(x0),PySRFunction(X=>x2*(-5.324669) + exp(x0))
8,1.3904767,"x0 + (square(aq(x2, x0)) * -5.846391)",0.16319613432294694,x0 + (x2**2/(x0**2 + 1))*(-5.846391),PySRFunction(X=>x0 + (x2**2/(x0**2 + 1))*(-5.846391))
9,1.0281334,(x2 * -5.588521) + (exp(square(x0)) * 1.4075065),0.30190171283811246,x2*(-5.588521) + exp(x0**2)*1.4075065,PySRFunction(X=>x2*(-5.588521) + exp(x0**2)*1.4075065)
10,0.8672601,"aq((x2 * -6.168743) - 3.7447069, square(x0)) + 5.751851",0.17016127234358686,5.751851 + (x2*(-6.168743) - 1*3.7447069)/sqrt(x0**4 + 1),PySRFunction(X=>5.751851 + (x2*(-6.168743) - 1*3.7447069)/sqrt(x0**4 + 1))
12,0.7894974,"(x2 * aq(-6.007685 - x1, square(x0))) + (x0 + 1.8358401)",0.04697119566141246,x0 + x2*((-x1 - 6.007685)/sqrt(x0**4 + 1)) + 1.8358401,PySRFunction(X=>x0 + x2*((-x1 - 6.007685)/sqrt(x0**4 + 1)) + 1.8358401)
13,0.6073764,"aq(x2 * (-5.9564285 - x1), square(x0)) + (square(x0) + 1.9706477)",0.26224784274227525,x0**2 + x2*(-x1 - 5.9564285)/sqrt(x0**4 + 1) + 1.9706477,PySRFunction(X=>x0**2 + x2*(-x1 - 5.9564285)/sqrt(x0**4 + 1) + 1.9706477)
14,0.41690308,"aq((x2 * -5.9517384) + -4.973674, square(x0 - x1)) + (x0 + 6.5401835)",0.37629492500218176,x0 + (x2*(-5.9517384) - 4.973674)/sqrt((x0 - x1)**4 + 1) + 6.5401835,PySRFunction(X=>x0 + (x2*(-5.9517384) - 4.973674)/sqrt((x0 - x1)**4 + 1) + 6.5401835)
16,0.36103734,"aq(-2.7357247, x1) + square(aq(((x2 * -3.8939698) - x1) - 1.7371147, x0) + 4.6809344)",0.0719361924176753,(4.6809344 + (-x1 + x2*(-3.8939698) - 1*1.7371147)/sqrt(x0**2 + 1))**2 - 2.7357247/sqrt(x1**2 + 1),PySRFunction(X=>(4.6809344 + (-x1 + x2*(-3.8939698) - 1*1.7371147)/sqrt(x0**2 + 1))**2 - 2.7357247/sqrt(x1**2 + 1))
18,0.3599174,"square(square(x1 + -0.92529136)) + aq(aq((x2 * -6.4707694) - 3.9629962, square(x0)) + 5.7012587, x1)",0.0015534136037997726,(5.7012587 + (x2*(-6.4707694) - 1*3.9629962)/sqrt(x0**4 + 1))/sqrt(x1**2 + 1) + (x1 - 0.92529136)**4,PySRFunction(X=>(5.7012587 + (x2*(-6.4707694) - 1*3.9629962)/sqrt(x0**4 + 1))/sqrt(x1**2 + 1) + (x1 - 0.92529136)**4)
20,0.3480137,"aq(aq(((-6.243454 - x1) * x2) - 3.962048, square(x0)) + (square(square(x1 + -0.78352743)) + 5.8578706), x1)",0.01681635693181676,((x1 - 0.78352743)**4 + 5.8578706 + (x2*(-x1 - 6.243454) - 1*3.962048)/sqrt(x0**4 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>((x1 - 0.78352743)**4 + 5.8578706 + (x2*(-x1 - 6.243454) - 1*3.962048)/sqrt(x0**4 + 1))/sqrt(x1**2 + 1))
