Complexity,Loss,Equation,score,sympy_format,lambda_format
1,10.1922455,-1.7673696,0.0,-1.76736960000000,PySRFunction(X=>-1.76736960000000)
3,7.865467,x2 * -3.7094357,0.12957263716259193,x2*(-3.7094357),PySRFunction(X=>x2*(-3.7094357))
4,6.3536434,log(square(log(x2))),0.21345349958952192,log(log(x2)**2),PySRFunction(X=>log(log(x2)**2))
5,6.119792,(x2 * -8.838027) + 3.5352654,0.037500303126063894,3.5352654 + x2*(-8.838027),PySRFunction(X=>3.5352654 + x2*(-8.838027))
6,5.637054,log(square(log(x2))) - x1,0.08216652040140963,-x1 + log(log(x2)**2),PySRFunction(X=>-x1 + log(log(x2)**2))
7,5.368848,(4.0349994 - (x2 * 8.837603)) - x0,0.0487482282498526,-x0 - 8.837603*x2 + 4.0349994,PySRFunction(X=>-x0 - 8.837603*x2 + 4.0349994)
8,4.675103,((x2 + log(x2)) + x0) * -3.2249427,0.13836216578379035,-3.2249427*x0 - 3.2249427*x2 - 3.2249427*log(x2),PySRFunction(X=>-3.2249427*x0 - 3.2249427*x2 - 3.2249427*log(x2))
9,3.0449572,(((x0 * x1) + x2) * -8.3184185) + 4.266971,0.4287643493496611,4.266971 + (x0*x1 + x2)*(-8.3184185),PySRFunction(X=>4.266971 + (x0*x1 + x2)*(-8.3184185))
10,2.7689333,((x1 + (x2 + x0)) + log(x2)) * -2.9669678,0.09502468945360082,-2.9669678*x0 - 2.9669678*x1 - 2.9669678*x2 - 2.9669678*log(x2),PySRFunction(X=>-2.9669678*x0 - 2.9669678*x1 - 2.9669678*x2 - 2.9669678*log(x2))
11,2.3375964,(((x0 + 0.9217244) + x1) * (x2 * -5.2839007)) - -3.535177,0.16933893380820278,(x0 + x1 + 0.9217244)*x2*(-5.2839007) - 1*(-3.535177),PySRFunction(X=>(x0 + x1 + 0.9217244)*x2*(-5.2839007) - 1*(-3.535177))
13,2.081621,"(aq((x2 + x0) * -4.654111, x1) * (x1 + x2)) - -2.4390085",0.05798815242664223,(-4.654111*(x0 + x2)/sqrt(x1**2 + 1))*(x1 + x2) - 1*(-2.4390085),PySRFunction(X=>(-4.654111*(x0 + x2)/sqrt(x1**2 + 1))*(x1 + x2) - 1*(-2.4390085))
15,1.6472273,"aq((((x1 + x2) * aq(x2 + x0, x1)) * -5.7343564) - -2.9413311, x0)",0.117026733472625,((x1 + x2)*((x0 + x2)/sqrt(x1**2 + 1))*(-5.7343564) - 1*(-2.9413311))/sqrt(x0**2 + 1),PySRFunction(X=>((x1 + x2)*((x0 + x2)/sqrt(x1**2 + 1))*(-5.7343564) - 1*(-2.9413311))/sqrt(x0**2 + 1))
17,1.6318204,"aq((((x1 + x2) * aq(x2 + aq(x0, -0.32234746), x1)) * -5.767436) - -2.945207, x0)",0.004698624353520033,((x1 + x2)*((0.951773442173785*x0 + x2)/sqrt(x1**2 + 1))*(-5.767436) - 1*(-2.945207))/sqrt(x0**2 + 1),PySRFunction(X=>((x1 + x2)*((0.951773442173785*x0 + x2)/sqrt(x1**2 + 1))*(-5.767436) - 1*(-2.945207))/sqrt(x0**2 + 1))
19,1.6023433,"aq(((x1 + x2) * (aq(x2 + aq(x0, -0.4660785 * x0), x1) * -5.767436)) - -2.945207, x0)",0.009114540573203397,((x1 + x2)*((x0/sqrt(0.21722916816225*x0**2 + 1) + x2)/sqrt(x1**2 + 1))*(-5.767436) - 1*(-2.945207))/sqrt(x0**2 + 1),PySRFunction(X=>((x1 + x2)*((x0/sqrt(0.21722916816225*x0**2 + 1) + x2)/sqrt(x1**2 + 1))*(-5.767436) - 1*(-2.945207))/sqrt(x0**2 + 1))
20,1.5609815,"(2.758342 - ((x1 + x2) * ((x2 + aq(aq(x0, square(x0)), x1)) * aq(5.132093, x1)))) - x1",0.026152330234318344,-x1 - (x1 + x2)*5.132093/sqrt(x1**2 + 1)*(x0/(sqrt(x0**4 + 1)*sqrt(x1**2 + 1)) + x2) + 2.758342,PySRFunction(X=>-x1 - (x1 + x2)*5.132093/sqrt(x1**2 + 1)*(x0/(sqrt(x0**4 + 1)*sqrt(x1**2 + 1)) + x2) + 2.758342)
