Complexity,Loss,Equation,score,sympy_format,lambda_format
1,40.9424,-5.1350474,0.0,-5.13504740000000,PySRFunction(X=>-5.13504740000000)
3,24.07158,x2 * -10.445374,0.26556715468531117,x2*(-10.445374),PySRFunction(X=>x2*(-10.445374))
4,15.337721,square(x2) * -15.544212,0.4507166724573294,x2**2*(-15.544212),PySRFunction(X=>x2**2*(-15.544212))
5,11.531845,10.270278 - (x2 * 25.675962),0.28520288023556206,10.270278 - 25.675962*x2,PySRFunction(X=>10.270278 - 25.675962*x2)
7,10.07961,"aq(10.973798, x1) - (x2 * 25.888996)",0.0672988837035376,-25.888996*x2 + 10.973798/sqrt(x1**2 + 1),PySRFunction(X=>-25.888996*x2 + 10.973798/sqrt(x1**2 + 1))
9,9.447979,(6.801127 - (x2 * 17.041258)) * (x1 + 1.2315009),0.03235685760928934,(6.801127 - 17.041258*x2)*(x1 + 1.2315009),PySRFunction(X=>(6.801127 - 17.041258*x2)*(x1 + 1.2315009))
10,9.30969,(4.4983735 - (x2 * 11.252929)) * (exp(x1) + 0.94137937),0.014745062994895163,(4.4983735 - 11.252929*x2)*(exp(x1) + 0.94137937),PySRFunction(X=>(4.4983735 - 11.252929*x2)*(exp(x1) + 0.94137937))
12,9.258533,"(exp(x1) + aq(0.9679435, x0)) * (4.650403 - (x2 * 11.6360655))",0.0027550902117045254,(4.650403 - 11.6360655*x2)*(exp(x1) + 0.9679435/sqrt(x0**2 + 1)),PySRFunction(X=>(4.650403 - 11.6360655*x2)*(exp(x1) + 0.9679435/sqrt(x0**2 + 1)))
14,9.177809,"aq((4.701258 - (x2 * 11.771359)) * (exp(x1) + 0.9396181), x0 + -0.37986135)",0.004378553829840539,(4.701258 - 11.771359*x2)*(exp(x1) + 0.9396181)/sqrt((x0 - 0.37986135)**2 + 1),PySRFunction(X=>(4.701258 - 11.771359*x2)*(exp(x1) + 0.9396181)/sqrt((x0 - 0.37986135)**2 + 1))
16,9.166443,"(exp(x1) + 0.9316938) * (4.4881115 - aq(x2 * 11.714815, (x0 - 0.29942372) + -0.17393757))",0.0006195947076207144,(4.4881115 - 11.714815*x2/sqrt((x0 - 1*0.29942372 - 0.17393757)**2 + 1))*(exp(x1) + 0.9316938),PySRFunction(X=>(4.4881115 - 11.714815*x2/sqrt((x0 - 1*0.29942372 - 0.17393757)**2 + 1))*(exp(x1) + 0.9316938))
17,9.032058,((x2 * ((-1.5738704 - x1) * exp(exp(x2)))) + 4.684844) - exp(exp(x1 * -14.1929245)),0.014769067267942623,x2*(-x1 - 1.5738704)*exp(exp(x2)) - exp(exp(x1*(-14.1929245))) + 4.684844,PySRFunction(X=>x2*(-x1 - 1.5738704)*exp(exp(x2)) - exp(exp(x1*(-14.1929245))) + 4.684844)
19,9.031222,(exp(exp(x2)) * (x2 * (-1.5750358 - x1))) + (4.694732 - exp(exp(x1 * (-13.29138 - x2)))),4.628173845481793e-05,x2*(-x1 - 1.5750358)*exp(exp(x2)) - exp(exp(x1*(-x2 - 13.29138))) + 4.694732,PySRFunction(X=>x2*(-x1 - 1.5750358)*exp(exp(x2)) - exp(exp(x1*(-x2 - 13.29138))) + 4.694732)
20,9.030506,(4.7009296 - exp(exp((-11.960095 - exp(x2)) * x1))) + ((x2 * exp(exp(x2))) * (-1.5760908 - x1)),7.928366548026903e-05,x2*(-x1 - 1.5760908)*exp(exp(x2)) - exp(exp(x1*(-exp(x2) - 11.960095))) + 4.7009296,PySRFunction(X=>x2*(-x1 - 1.5760908)*exp(exp(x2)) - exp(exp(x1*(-exp(x2) - 11.960095))) + 4.7009296)
