Complexity,Loss,Equation,score,sympy_format,lambda_format
1,3.2592466,-0.54911137,0.0,-0.549111370000000,PySRFunction(X=>-0.549111370000000)
3,2.5403852,x2 * -1.474957,0.12459017064995455,x2*(-1.474957),PySRFunction(X=>x2*(-1.474957))
4,2.242764,square(x2) * -1.9261043,0.12460668930132608,x2**2*(-1.9261043),PySRFunction(X=>x2**2*(-1.9261043))
5,2.1616259,(x2 * -2.7462723) - -1.0985091,0.03684836375688956,x2*(-2.7462723) - 1*(-1.0985091),PySRFunction(X=>x2*(-2.7462723) - 1*(-1.0985091))
6,2.0313416,(square(x2) * -2.1776886) + x1,0.06216420855354071,x1 + x2**2*(-2.1776886),PySRFunction(X=>x1 + x2**2*(-2.1776886))
7,1.9956588,(x2 * (x1 + -2.9969609)) - -1.0983489,0.017722240070484105,x2*(x1 - 2.9969609) - 1*(-1.0983489),PySRFunction(X=>x2*(x1 - 2.9969609) - 1*(-1.0983489))
8,1.9409703,((x1 * x0) - square(x2)) * 2.054321,0.027786218714505456,(x0*x1 - x2**2)*2.054321,PySRFunction(X=>(x0*x1 - x2**2)*2.054321)
9,1.8637965,((x1 * square(x0)) - square(x2)) * 2.054321,0.04057246619500848,(x0**2*x1 - x2**2)*2.054321,PySRFunction(X=>(x0**2*x1 - x2**2)*2.054321)
10,1.8591788,((x0 * (x0 * x1)) - square(x2)) * 2.1541502,0.002480651627191281,(x0*x0*x1 - x2**2)*2.1541502,PySRFunction(X=>(x0*x0*x1 - x2**2)*2.1541502)
11,1.8439877,"(x2 * aq(-3.1754885, x1 + square(square(x0)))) - -1.1471615",0.008204430026410515,x2*(-3.1754885/sqrt((x0**4 + x1)**2 + 1)) - 1*(-1.1471615),PySRFunction(X=>x2*(-3.1754885/sqrt((x0**4 + x1)**2 + 1)) - 1*(-1.1471615))
13,1.8009261,(square(x2) + x0) * (((x1 + square(x0)) - x2) - x2),0.011814711118892846,(x0 + x2**2)*(x0**2 + x1 - x2 - x2),PySRFunction(X=>(x0 + x2**2)*(x0**2 + x1 - x2 - x2))
14,1.7767448,"((aq(-6.1588464, (x0 * exp(x1)) + -0.54244983) + 2.9488916) * x2) - -1.0965965",0.013518106563783544,x2*(2.9488916 - 6.1588464/sqrt((x0*exp(x1) - 0.54244983)**2 + 1)) - 1*(-1.0965965),PySRFunction(X=>x2*(2.9488916 - 6.1588464/sqrt((x0*exp(x1) - 0.54244983)**2 + 1)) - 1*(-1.0965965))
16,1.7602761,"aq((x2 * (aq(-6.494626, (x0 * exp(x1)) + -0.5314329) + 3.1309998)) - -1.1666754, x1)",0.004656127141063246,(x2*(3.1309998 - 6.494626/sqrt((x0*exp(x1) - 0.5314329)**2 + 1)) - 1*(-1.1666754))/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(3.1309998 - 6.494626/sqrt((x0*exp(x1) - 0.5314329)**2 + 1)) - 1*(-1.1666754))/sqrt(x1**2 + 1))
18,1.754149,"aq(aq((x2 * (aq(-6.494626, (x0 * exp(x1)) + -0.5314329) + 3.1309998)) - -1.1666754, x1), x1)",0.0017434163578485212,(x2*(3.1309998 - 6.494626/sqrt((x0*exp(x1) - 0.5314329)**2 + 1)) - 1*(-1.1666754))/(x1**2 + 1),PySRFunction(X=>(x2*(3.1309998 - 6.494626/sqrt((x0*exp(x1) - 0.5314329)**2 + 1)) - 1*(-1.1666754))/(x1**2 + 1))
