Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.802672,x0,0.0,x0,PySRFunction(X=>x0)
2,5.6463428,square(x0),0.027310457583631514,x0**2,PySRFunction(X=>x0**2)
3,5.4568224,x0 + -0.5883287,0.03414140121912267,x0 - 0.5883287,PySRFunction(X=>x0 - 0.5883287)
4,3.8953953,log(x0 + 0.00025787132),0.3370714790582753,log(x0 + 0.00025787132),PySRFunction(X=>log(x0 + 0.00025787132))
6,2.8984118,log(x0 + 0.00025787132) - -1.0199723,0.14781611572973577,log(x0 + 0.00025787132) + 1.0199723,PySRFunction(X=>log(x0 + 0.00025787132) + 1.0199723)
7,0.26445287,x2 * ((x0 - 0.56894577) * 5.6646867),2.3942551606180063,x2*(x0 - 1*0.56894577)*5.6646867,PySRFunction(X=>x2*(x0 - 1*0.56894577)*5.6646867)
9,0.14987111,(6.096525 - x0) * ((x0 - 0.55462694) * x2),0.28394369605895164,x2*(6.096525 - x0)*(x0 - 1*0.55462694),PySRFunction(X=>x2*(6.096525 - x0)*(x0 - 1*0.55462694))
10,0.14860052,(x2 * -1.1159115) * (square(3.0320003 - x0) - 6.14611),0.008514026443785024,x2*(-1.1159115)*((3.0320003 - x0)**2 - 1*6.14611),PySRFunction(X=>x2*(-1.1159115)*((3.0320003 - x0)**2 - 1*6.14611))
11,0.12389875,((x0 - 0.563303) * ((6.0873666 - x0) * x2)) + 0.17617443,0.18179693180165934,x2*(6.0873666 - x0)*(x0 - 1*0.563303) + 0.17617443,PySRFunction(X=>x2*(6.0873666 - x0)*(x0 - 1*0.563303) + 0.17617443)
12,0.122628786,((x2 * (square(x0 - 3.0398486) - 6.1414185)) * -1.1123857) + 0.17630158,0.010302907776276472,x2*((x0 - 1*3.0398486)**2 - 1*6.1414185)*(-1.1123857) + 0.17630158,PySRFunction(X=>x2*((x0 - 1*3.0398486)**2 - 1*6.1414185)*(-1.1123857) + 0.17630158)
13,0.11179687,"x2 * ((aq(x0 - 0.28844115, x0 * x2) * 6.3305554) - 1.3645525)",0.09247822811974377,x2*(((x0 - 1*0.28844115)/sqrt(x0**2*x2**2 + 1))*6.3305554 - 1*1.3645525),PySRFunction(X=>x2*(((x0 - 1*0.28844115)/sqrt(x0**2*x2**2 + 1))*6.3305554 - 1*1.3645525))
14,0.073286906,((square(2.974275 - x0) - 5.5470138) * ((x2 * -0.6662019) - 0.2866605)) + 0.36042207,0.422301606715088,(x2*(-0.6662019) - 1*0.2866605)*((2.974275 - x0)**2 - 1*5.5470138) + 0.36042207,PySRFunction(X=>(x2*(-0.6662019) - 1*0.2866605)*((2.974275 - x0)**2 - 1*5.5470138) + 0.36042207)
16,0.073269084,(((x2 * -0.6646638) - 0.28892708) * (square(2.9697316 - x0) - 5.5226016)) + (0.20083489 - -0.16800934),0.00012160540205727542,(x2*(-0.6646638) - 1*0.28892708)*((2.9697316 - x0)**2 - 1*5.5226016) - 1*(-0.16800934) + 0.20083489,PySRFunction(X=>(x2*(-0.6646638) - 1*0.28892708)*((2.9697316 - x0)**2 - 1*5.5226016) - 1*(-0.16800934) + 0.20083489)
18,0.06660932,((-0.06061738 * x1) + 0.39712203) + ((square(x0 - 2.9076176) - 5.2280035) * ((x2 * -0.67418814) - 0.300994)),0.047647119346051606,-0.06061738*x1 + (x2*(-0.67418814) - 1*0.300994)*((x0 - 1*2.9076176)**2 - 1*5.2280035) + 0.39712203,PySRFunction(X=>-0.06061738*x1 + (x2*(-0.67418814) - 1*0.300994)*((x0 - 1*2.9076176)**2 - 1*5.2280035) + 0.39712203)
20,0.058593407,((((x2 * -0.58474046) - 0.33696818) * (square(2.9696052 - x0) - 5.457576)) - (x2 * (x1 * 0.060943276))) + 0.42507258,0.06411116298730966,-0.060943276*x1*x2 + (x2*(-0.58474046) - 1*0.33696818)*((2.9696052 - x0)**2 - 1*5.457576) + 0.42507258,PySRFunction(X=>-0.060943276*x1*x2 + (x2*(-0.58474046) - 1*0.33696818)*((2.9696052 - x0)**2 - 1*5.457576) + 0.42507258)
